时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-231515,0,Y,+000002.8
20250120-231515,1,X,-000007.2
20250120-231515,2,Z,-000004.8
20250120-231515,3,X,-000005.5
20250120-231515,3,Z,+000003.2
20250120-231515,4,X,+000002.7
20250120-231515,6,Y,+000003.0
20250120-231515,7,Y,+000007.9
20250120-231515,8,Y,+000006.4
20250120-231515,9,Z,-000008.4
20250120-231515,10,X,+000002.5
20250120-231515,11,X,-000002.8
20250120-231515,12,X,-000003.0
20250120-231515,12,Y,-000003.5
20250120-231515,12,Z,+000006.1
20250120-231515,13,X,+000002.7
20250120-231515,13,Y,-000006.3
20250120-231515,14,X,-000004.0
20250120-231515,14,Y,-000002.9
20250120-231515,15,Z,+000003.4
20250120-231517,0,X,+000003.6
20250120-231517,1,X,-000004.1
20250120-231517,1,Y,-000003.8
20250120-231517,1,Z,+000002.5
20250120-231517,2,Y,-000002.9
20250120-231517,2,Z,-000003.6
20250120-231517,4,X,+000003.4
20250120-231517,4,Y,+000003.3
20250120-231517,4,Z,+000003.9
20250120-231517,5,X,-000002.6
20250120-231517,5,Y,+000003.2
20250120-231517,5,Z,+000002.7
20250120-231517,8,X,-000003.6
20250120-231517,8,Z,+000004.9
20250120-231517,9,Z,+000002.8
20250120-231517,10,Y,+000004.0
20250120-231517,10,Z,+000003.3
20250120-231517,13,X,-000004.6
20250120-231517,13,Z,-000003.6
20250120-231517,14,Y,-000002.5
20250120-231517,15,X,+000005.4
20250120-231517,15,Y,+000006.2
20250120-231518,0,Y,-000005.0
20250120-231518,0,Z,-000007.7
20250120-231518,1,X,-000002.5
20250120-231518,1,Z,+000002.9
20250120-231518,3,X,-000005.9
20250120-231518,5,Z,+000003.8
20250120-231518,6,Y,+000003.0
20250120-231518,7,Z,+000002.7
20250120-231518,9,X,-000003.5
20250120-231518,9,Y,-000004.3
20250120-231518,10,X,-000004.4
20250120-231518,10,Y,+000003.2
20250120-231518,10,Z,+000005.2
20250120-231518,12,Z,+000002.6
20250120-231518,14,Y,-000002.9
20250120-231519,0,Y,+000004.7
20250120-231519,0,Z,-000008.9
20250120-231519,1,X,+000002.5
20250120-231519,1,Z,-000003.3
20250120-231519,3,Y,+000003.7
20250120-231519,3,Z,+000007.1
20250120-231519,4,Z,-000002.7
20250120-231519,5,X,-000003.0
20250120-231519,6,Y,-000003.2
20250120-231519,7,X,-000003.6
20250120-231519,7,Y,+000006.8
20250120-231519,7,Z,-000003.1
20250120-231519,8,Y,-000003.7
20250120-231519,8,Z,+000003.8
20250120-231519,9,X,-000002.7
20250120-231519,12,Z,-000002.8
20250120-231519,14,Y,-000003.7
20250120-231519,15,Y,+000004.3
20250120-231519,15,Z,+000004.1
20250120-231523,0,X,+000005.1
20250120-231523,0,Z,-000006.6
20250120-231523,1,X,-000004.5
20250120-231523,1,Y,-000004.6
20250120-231523,1,Z,+000003.7
20250120-231523,2,Y,+000004.5
20250120-231523,3,Z,-000004.1
20250120-231523,4,Y,+000003.3
20250120-231523,6,X,+000004.3
20250120-231523,6,Z,-000003.7
20250120-231523,7,Y,-000003.7
20250120-231523,7,Z,+000004.3
20250120-231523,8,X,-000003.6
20250120-231523,8,Z,+000003.0
20250120-231523,10,X,+000004.1
20250120-231523,10,Y,-000006.8
20250120-231523,11,X,+000003.8
20250120-231523,12,Y,-000003.8
20250120-231523,12,Z,-000002.8
20250120-231523,13,Z,-000002.8
20250120-231523,15,X,+000003.4
20250120-231523,15,Z,+000003.0
20250120-231524,0,X,-000003.4
20250120-231524,0,Y,-000004.2
20250120-231524,0,Z,+000004.3
20250120-231524,1,X,-000003.7
20250120-231524,4,X,-000003.2
20250120-231524,4,Z,-000003.1
20250120-231524,6,X,+000005.1
20250120-231524,6,Y,-000007.5
20250120-231524,9,Y,-000003.2
20250120-231524,9,Z,+000006.3
20250120-231524,10,X,+000005.3
20250120-231524,10,Y,+000004.4
20250120-231524,10,Z,-000005.2
20250120-231524,11,Y,+000003.4
20250120-231524,12,X,+000003.2
20250120-231524,15,X,+000007.3
20250120-231524,15,Y,+000003.9
20250120-231525,2,Z,-000004.4
20250120-231525,3,X,-000003.6
20250120-231525,4,Y,-000006.4
20250120-231525,5,Y,-000004.9
20250120-231525,5,Z,-000002.8
20250120-231525,6,Y,+000004.2
20250120-231525,7,Y,+000003.7
20250120-231525,7,Z,-000002.7
20250120-231525,8,Y,+000006.4
20250120-231525,8,Z,+000004.2
20250120-231525,10,X,+000004.5
20250120-231525,11,Z,+000003.4
20250120-231525,12,Y,+000004.3
20250120-231525,13,Y,-000005.1
20250120-231525,14,X,-000003.6
20250120-231525,14,Z,+000004.1
20250120-231525,15,Z,-000002.9
20250120-231527,0,X,-000002.6
20250120-231527,0,Y,+000002.8
20250120-231527,0,Z,-000005.0
20250120-231527,1,Y,-000007.7
20250120-231527,1,Z,-000004.5
20250120-231527,2,X,-000003.3
20250120-231527,2,Y,+000003.0
20250120-231527,3,X,-000005.5
20250120-231527,3,Z,+000005.2
20250120-231527,4,X,+000004.6
20250120-231527,4,Y,-000004.9
20250120-231527,4,Z,+000004.3
20250120-231527,5,Y,-000004.5
20250120-231527,6,X,-000003.5
20250120-231527,6,Y,-000004.0
20250120-231527,7,Z,-000002.7
20250120-231527,8,X,+000005.3
20250120-231527,8,Z,+000005.3
20250120-231527,9,X,-000002.7
20250120-231527,9,Y,+000002.7
20250120-231527,10,X,-000002.9
20250120-231527,12,Y,-000004.6
20250120-231527,13,X,-000002.7
20250120-231527,13,Y,+000003.0
20250120-231527,14,X,+000004.9
20250120-231527,14,Y,-000004.5
20250120-231527,15,Y,+000003.1
20250120-231528,0,Y,-000003.4
20250120-231528,0,Z,-000003.5
20250120-231528,1,X,+000002.5
20250120-231528,2,X,+000005.6
20250120-231528,2,Z,+000002.9
20250120-231528,4,Y,+000004.0
20250120-231528,5,X,+000004.4
20250120-231528,7,Y,+000002.9
20250120-231528,9,X,+000004.7
20250120-231528,9,Z,+000003.2
20250120-231528,11,Y,+000004.6
20250120-231528,13,Z,-000004.4
20250120-231528,14,X,-000004.8
20250120-231528,14,Y,+000003.7
20250120-231528,14,Z,+000008.0
20250120-231528,15,Y,+000002.7
20250120-231529,0,Y,+000002.8
20250120-231529,0,Z,-000003.8
20250120-231529,2,Y,-000004.4
20250120-231529,3,Y,-000003.6
20250120-231529,7,X,+000002.6
20250120-231529,7,Y,-000002.9
20250120-231529,7,Z,+000004.3
20250120-231529,9,X,+000005.5
20250120-231529,9,Y,+000006.2
20250120-231529,10,X,-000004.1
20250120-231529,10,Y,+000006.0
20250120-231529,11,X,-000004.0
20250120-231529,12,X,-000004.2
20250120-231529,12,Z,+000004.2
20250120-231529,13,X,-000003.1
20250120-231529,13,Y,-000003.6
20250120-231529,13,Z,+000004.2
20250120-231532,10,X,-000003.6
20250120-231532,1,Y,-000003.0
20250120-231532,1,Z,-000003.3
20250120-231532,3,X,-000002.8
20250120-231532,4,Z,-000004.3
20250120-231532,7,Z,-000008.2
20250120-231532,8,X,-000007.5
20250120-231532,9,X,-000003.1
20250120-231532,10,X,-000006.4
20250120-231532,10,Z,-000002.9
20250120-231532,11,X,-000004.0
20250120-231532,13,Z,+000003.8
20250120-231532,14,X,+000003.8
20250120-231532,14,Z,+000006.4
20250120-231532,15,X,+000004.2
20250120-231532,15,Z,-000006.7
20250120-231532,10,X,-000004.2
20250120-231533,10,X,-000004.0
20250120-231533,10,X,-000003.9
20250120-231533,10,X,-000004.2
20250120-231533,0,Y,-000003.0
20250120-231533,0,Z,+000005.1
20250120-231533,1,Z,+000005.3
20250120-231533,2,X,-000003.7
20250120-231533,2,Y,-000005.2
20250120-231533,3,Y,+000004.9
20250120-231533,3,Z,+000003.6
20250120-231533,4,Y,+000003.3
20250120-231533,4,Z,+000005.1
20250120-231533,5,X,+000004.0
20250120-231533,9,Z,+000003.2
20250120-231533,10,X,-000005.6
20250120-231533,10,Z,-000002.9
20250120-231533,11,Y,+000005.7
20250120-231533,13,X,+000003.5
20250120-231533,14,Y,+000004.1
20250120-231533,14,Z,-000006.4
20250120-231533,15,Y,-000003.1
20250120-231533,15,Z,-000002.9
20250120-231533,10,X,-000004.7
20250120-231534,10,X,-000004.6
20250120-231534,10,X,-000004.0
20250120-231534,10,X,-000003.5
20250120-231534,0,Y,-000003.4
20250120-231534,0,Z,+000004.3
20250120-231534,2,Z,-000006.4
20250120-231534,3,X,+000006.1
20250120-231534,4,X,-000007.4
20250120-231534,4,Y,-000002.9
20250120-231534,4,Z,-000008.9
20250120-231534,5,X,-000003.0
20250120-231534,5,Y,-000003.4
20250120-231534,6,X,+000002.7
20250120-231534,7,X,+000002.6
20250120-231534,7,Y,+000003.3
20250120-231534,7,Z,-000003.9
20250120-231534,9,X,-000007.0
20250120-231534,9,Y,-000003.6
20250120-231534,9,Z,+000002.8
20250120-231534,10,X,-000002.9
20250120-231534,10,Z,-000002.9
20250120-231534,12,Y,+000008.2
20250120-231534,13,X,+000003.5
20250120-231534,14,Y,+000004.1
20250120-231534,14,Z,+000004.1
20250120-231534,15,Z,-000003.2
20250120-231534,10,X,-000003.9
20250120-231535,10,X,-000003.4
20250120-231535,10,X,-000003.6
20250120-231535,10,X,-000003.5
20250120-231535,0,X,+000007.9
20250120-231535,0,Y,+000005.1
20250120-231535,1,Z,-000003.3
20250120-231535,3,X,-000008.6
20250120-231535,3,Y,+000004.1
20250120-231535,3,Z,-000003.7
20250120-231535,4,Y,+000005.6
20250120-231535,4,Z,+000006.2
20250120-231535,5,X,+000002.9
20250120-231535,5,Y,-000005.3
20250120-231535,5,Z,+000003.8
20250120-231535,6,Y,-000005.2
20250120-231535,7,X,+000003.8
20250120-231535,7,Y,+000003.3
20250120-231535,8,X,+000003.8
20250120-231535,8,Y,+000002.5
20250120-231535,9,X,-000002.7
20250120-231535,9,Y,+000003.8
20250120-231535,10,X,-000006.0
20250120-231535,11,Y,-000004.7
20250120-231535,11,Z,-000004.7
20250120-231535,13,Y,+000002.7
20250120-231535,15,X,-000002.8
20250120-231535,10,X,-000003.8
20250120-231536,10,X,-000003.2
20250120-231536,10,X,-000003.3
20250120-231536,10,X,-000003.8
20250120-231536,10,X,-000003.5
20250120-231537,10,X,-000002.7
20250120-231537,10,X,-000003.7
20250120-231537,10,X,-000002.9
20250120-231537,0,Y,-000003.8
20250120-231537,0,Z,+000002.8
20250120-231537,1,X,-000002.9
20250120-231537,1,Y,+000003.6
20250120-231537,1,Z,-000002.5
20250120-231537,2,Z,-000003.3
20250120-231537,3,Y,-000002.9
20250120-231537,4,X,+000006.1
20250120-231537,4,Y,+000004.4
20250120-231537,5,X,+000005.2
20250120-231537,5,Y,-000006.1
20250120-231537,5,Z,+000003.0
20250120-231537,6,Z,+000006.0
20250120-231537,7,Y,+000004.4
20250120-231537,7,Z,-000005.1
20250120-231537,8,Y,-000005.2
20250120-231537,9,Y,+000002.7
20250120-231537,10,X,-000004.4
20250120-231537,10,Z,-000002.5
20250120-231537,11,Y,-000004.0
20250120-231537,11,Z,+000002.7
20250120-231537,13,X,+000007.4
20250120-231537,13,Z,+000003.4
20250120-231537,15,X,-000004.3
20250120-231537,15,Z,+000007.2
20250120-231537,10,X,-000002.6
20250120-231538,10,X,-000003.1
20250120-231538,10,X,-000002.6
20250120-231538,10,X,-000002.6
20250120-231539,10,X,-000002.6
20250120-231539,0,Y,-000005.7
20250120-231539,0,Z,-000007.3
20250120-231539,1,X,-000004.8
20250120-231539,2,Y,-000004.4
20250120-231539,2,Z,+000002.9
20250120-231539,4,X,-000003.2
20250120-231539,4,Z,-000008.5
20250120-231539,5,Z,-000003.9
20250120-231539,6,Y,+000004.9
20250120-231539,8,X,+000004.2
20250120-231539,8,Y,+000004.9
20250120-231539,9,X,+000007.8
20250120-231539,9,Z,+000002.8
20250120-231539,10,X,-000003.7
20250120-231539,11,Y,-000002.8
20250120-231539,11,Z,-000002.8
20250120-231539,13,X,+000002.7
20250120-231539,14,Y,-000002.5
20250120-231539,10,X,-000002.6
20250120-231540,2,X,-000002.9
20250120-231540,3,Z,-000005.3
20250120-231540,4,X,-000007.0
20250120-231540,4,Y,-000002.9
20250120-231540,4,Z,-000007.0
20250120-231540,6,Y,+000008.8
20250120-231540,8,Y,+000005.3
20250120-231540,8,Z,+000005.3
20250120-231540,11,Y,+000002.6
20250120-231540,12,X,-000006.9
20250120-231540,14,Y,-000003.3
20250120-231540,14,Z,+000002.9
20250120-231540,15,X,-000003.2
20250120-231540,15,Y,-000004.7
20250120-231540,15,Z,+000006.1
20250120-231541,0,X,-000005.3
20250120-231541,0,Z,+000006.2
20250120-231541,2,X,+000002.9
20250120-231541,2,Y,-000002.9
20250120-231541,2,Z,-000004.4
20250120-231541,3,X,-000003.2
20250120-231541,4,X,-000003.9
20250120-231541,4,Y,+000004.4
20250120-231541,8,Y,-000005.2
20250120-231541,8,Z,+000003.0
20250120-231541,10,X,+000002.5
20250120-231541,10,Y,-000003.7
20250120-231541,10,Z,-000002.5
20250120-231541,11,Y,-000003.2
20250120-231541,12,X,-000004.6
20250120-231541,12,Y,+000002.8
20250120-231541,13,X,-000002.7
20250120-231541,13,Y,+000003.0
20250120-231541,13,Z,-000004.8
20250120-231541,14,X,+000003.8
20250120-231541,14,Z,-000003.7
20250120-231541,15,X,+000002.7
20250120-231541,15,Z,+000004.5
20250120-231542,10,X,-000002.6
20250120-231543,10,X,-000002.5
20250120-231543,0,Z,-000003.8
20250120-231543,1,X,-000005.2
20250120-231543,1,Y,-000003.0
20250120-231543,2,X,+000003.3
20250120-231543,3,Z,-000003.7
20250120-231543,4,X,-000003.9
20250120-231543,4,Z,+000002.7
20250120-231543,5,X,+000004.4
20250120-231543,5,Z,-000004.7
20250120-231543,6,Z,+000005.3
20250120-231543,7,X,+000003.0
20250120-231543,8,Z,-000002.8
20250120-231543,11,Z,-000002.8
20250120-231543,13,Z,+000004.9
20250120-231543,14,X,-000002.8
20250120-231543,14,Z,-000005.2
20250120-231543,15,X,+000003.0
20250120-231543,15,Y,+000004.3
20250120-231543,10,X,-000003.2
20250120-231544,10,X,-000002.6
20250120-231544,0,X,+000002.8
20250120-231544,0,Z,+000003.5
20250120-231544,1,X,-000004.8
20250120-231544,1,Z,-000002.9
20250120-231544,3,Y,-000003.6
20250120-231544,3,Z,+000004.8
20250120-231544,4,X,+000003.4
20250120-231544,5,Z,+000004.2
20250120-231544,6,Y,-000005.5
20250120-231544,8,X,+000002.6
20250120-231544,8,Z,-000004.0
20250120-231544,9,Z,-000007.3
20250120-231544,11,X,-000005.5
20250120-231544,11,Y,+000003.4
20250120-231544,12,X,-000004.6
20250120-231544,12,Y,-000003.5
20250120-231544,12,Z,-000002.8
20250120-231544,13,X,+000003.9
20250120-231544,14,X,+000004.2
20250120-231544,14,Y,-000007.6
20250120-231544,15,Y,+000005.0
20250120-231545,10,X,-000002.9
20250120-231546,10,X,-000002.7
20250120-231546,10,X,-000002.6
20250120-231546,10,X,-000002.7
20250120-231546,10,X,-000002.6
20250120-231547,10,X,-000002.8
20250120-231547,0,X,+000005.5
20250120-231547,1,X,-000009.1
20250120-231547,1,Y,-000003.4
20250120-231547,2,Z,-000003.3
20250120-231547,3,X,-000004.7
20250120-231547,4,X,+000002.7
20250120-231547,4,Z,+000003.5
20250120-231547,5,X,+000006.7
20250120-231547,5,Y,-000002.6
20250120-231547,5,Z,+000003.8
20250120-231547,6,Z,-000003.3
20250120-231547,7,X,-000002.8
20250120-231547,8,X,-000006.7
20250120-231547,8,Y,-000002.9
20250120-231547,8,Z,+000007.3
20250120-231547,9,Y,+000002.7
20250120-231547,10,Z,+000006.4
20250120-231547,12,Y,-000004.2
20250120-231547,12,Z,-000004.8
20250120-231547,14,X,-000004.4
20250120-231547,14,Y,-000002.9
20250120-231547,14,Z,+000007.2
20250120-231547,15,X,-000003.9
20250120-231547,10,X,-000002.9
20250120-231548,10,X,-000002.8
20250120-231548,10,X,-000003.7
20250120-231548,0,Y,-000004.2
20250120-231548,0,Z,+000005.9
20250120-231548,2,X,+000004.9
20250120-231548,2,Y,-000004.8
20250120-231548,4,X,-000002.8
20250120-231548,5,X,-000002.6
20250120-231548,5,Z,-000004.7
20250120-231548,6,X,-000004.6
20250120-231548,6,Z,-000003.7
20250120-231548,10,Z,+000004.1
20250120-231548,11,X,+000003.8
20250120-231548,11,Z,-000004.3
20250120-231548,12,Z,+000004.5
20250120-231548,14,X,-000002.8
20250120-231548,15,Z,+000003.0
20250120-231548,10,X,-000002.9
20250120-231548,10,X,-000002.7
20250120-231549,10,X,-000004.0
20250120-231549,10,X,-000002.9
20250120-231549,0,Z,-000004.6
20250120-231549,1,X,-000003.7
20250120-231549,1,Z,+000004.1
20250120-231549,3,X,-000005.1
20250120-231549,4,X,+000004.6
20250120-231549,4,Z,-000003.5
20250120-231549,6,Z,-000004.4
20250120-231549,7,Z,+000005.0
20250120-231549,8,Z,-000003.6
20250120-231549,9,Y,+000002.7
20250120-231549,9,Z,+000003.6
20250120-231549,10,Z,-000002.9
20250120-231549,11,X,+000006.5
20250120-231549,11,Y,-000005.5
20250120-231549,12,Y,-000004.6
20250120-231549,13,X,+000005.1
20250120-231549,13,Z,-000004.8
20250120-231549,14,X,-000003.2
20250120-231549,15,Y,+000003.5
20250120-231549,15,Z,+000003.0
20250120-231549,10,X,-000002.9
20250120-231549,10,X,-000002.6
20250120-231550,1,X,+000005.2
20250120-231550,1,Y,-000005.0
20250120-231550,3,Z,-000004.1
20250120-231550,4,X,+000003.4
20250120-231550,5,Y,+000007.5
20250120-231550,6,X,-000002.7
20250120-231550,7,Z,-000005.8
20250120-231550,8,Y,-000004.1
20250120-231550,8,Z,-000004.0
20250120-231550,9,Z,+000005.2
20250120-231550,10,Y,+000003.2
20250120-231550,10,Z,-000002.5
20250120-231550,11,Y,+000003.0
20250120-231550,12,Y,-000004.2
20250120-231550,12,Z,+000008.0
20250120-231550,13,Y,+000003.0
20250120-231550,14,X,-000007.1
20250120-231550,14,Y,+000003.3
20250120-231550,15,Z,+000003.7
20250120-231551,10,X,-000002.6
20250120-231551,0,Y,+000005.1
20250120-231551,1,Y,+000003.6
20250120-231551,1,Z,-000006.8
20250120-231551,2,X,+000005.3
20250120-231551,2,Y,-000004.8
20250120-231551,5,X,+000004.8
20250120-231551,5,Z,+000007.3
20250120-231551,7,X,+000003.4
20250120-231551,7,Z,-000005.4
20250120-231551,8,Y,+000004.5
20250120-231551,9,X,-000003.1
20250120-231551,11,Z,+000002.7
20250120-231551,12,Y,-000003.5
20250120-231551,13,Y,-000002.8
20250120-231551,13,Z,+000004.2
20250120-231551,14,X,+000006.1
20250120-231551,14,Y,+000006.4
20250120-231551,15,X,-000002.8
20250120-231551,15,Y,+000002.7
20250120-231551,15,Z,+000003.7
20250120-231551,10,X,-000003.4
20250120-231552,0,Y,+000005.9
20250120-231552,1,X,+000003.3
20250120-231552,1,Y,-000005.8
20250120-231552,1,Z,-000002.5
20250120-231552,3,Y,-000005.2
20250120-231552,3,Z,-000006.9
20250120-231552,4,Z,+000002.7
20250120-231552,5,Y,-000003.8
20250120-231552,6,Y,-000005.9
20250120-231552,6,Z,+000006.4
20250120-231552,7,X,+000003.4
20250120-231552,8,X,+000005.7
20250120-231552,8,Y,+000004.1
20250120-231552,9,X,+000002.7
20250120-231552,9,Y,+000005.4
20250120-231552,9,Z,-000003.0
20250120-231552,10,X,-000004.1
20250120-231552,11,Y,-000004.0
20250120-231552,11,Z,-000005.9
20250120-231552,12,X,-000004.6
20250120-231552,13,X,+000004.7
20250120-231552,14,X,-000004.0
20250120-231552,14,Y,-000002.9
20250120-231552,14,Z,-000006.0
20250120-231552,15,Y,+000003.1
20250120-231553,0,Z,-000005.4
20250120-231553,1,Z,+000003.3
20250120-231553,2,Y,+000004.9
20250120-231553,3,Z,+000006.0
20250120-231553,4,Y,+000004.0
20250120-231553,4,Z,-000007.0
20250120-231553,5,X,-000006.8
20250120-231553,5,Z,+000005.4
20250120-231553,6,X,-000003.5
20250120-231553,7,X,-000005.2
20250120-231553,7,Y,-000003.3
20250120-231553,8,X,+000004.2
20250120-231553,8,Z,-000003.2
20250120-231553,9,X,-000004.3
20250120-231553,9,Y,-000006.7
20250120-231553,10,X,+000002.9
20250120-231553,10,Z,+000003.7
20250120-231553,12,Z,-000007.5
20250120-231553,15,Y,-000003.5
20250120-231554,1,X,+000002.9
20250120-231554,1,Z,+000002.5
20250120-231554,2,X,+000003.7
20250120-231554,2,Y,-000004.0
20250120-231554,2,Z,-000002.9
20250120-231554,4,X,+000006.9
20250120-231554,4,Y,+000003.6
20250120-231554,5,X,+000004.0
20250120-231554,5,Z,+000002.7
20250120-231554,6,Y,-000005.9
20250120-231554,7,Y,+000007.5
20250120-231554,7,Z,-000003.9
20250120-231554,8,X,-000004.0
20250120-231554,8,Z,+000004.9
20250120-231554,9,Y,-000002.8
20250120-231554,9,Z,-000003.4
20250120-231554,10,X,-000007.6
20250120-231554,10,Y,+000002.9
20250120-231554,10,Z,+000006.4
20250120-231554,11,Y,-000002.8
20250120-231554,13,X,+000008.2
20250120-231554,13,Y,+000003.4
20250120-231554,14,Z,+000004.9
20250120-231554,15,Y,+000003.1
20250120-231555,0,Y,-000003.0
20250120-231555,1,X,+000005.6
20250120-231555,2,X,+000005.3
20250120-231555,3,Z,+000002.9
20250120-231555,4,Y,-000004.1
20250120-231555,5,Y,+000004.0
20250120-231555,7,Y,-000002.9
20250120-231555,8,X,+000005.3
20250120-231555,8,Y,+000002.9
20250120-231555,8,Z,-000005.1
20250120-231555,9,Y,+000005.4
20250120-231555,9,Z,-000005.7
20250120-231555,10,X,-000004.1
20250120-231555,10,Z,-000003.7
20250120-231555,11,Z,-000003.9
20250120-231555,12,Z,-000002.8
20250120-231555,14,X,+000004.2
20250120-231555,14,Y,+000003.3
20250120-231555,15,Z,+000003.0
20250120-231556,0,Z,-000008.1
20250120-231556,1,Y,+000002.8
20250120-231556,2,Y,-000004.8
20250120-231556,2,Z,-000003.6
20250120-231556,3,X,-000003.6
20250120-231556,3,Y,-000004.0
20250120-231556,4,X,+000002.7
20250120-231556,5,Y,-000003.8
20250120-231556,7,Y,+000006.4
20250120-231556,8,Z,-000004.4
20250120-231556,9,X,-000003.5
20250120-231556,9,Y,-000005.5
20250120-231556,9,Z,+000003.2
20250120-231556,10,X,-000003.7
20250120-231556,10,Y,-000003.0
20250120-231556,11,Z,-000006.3
20250120-231556,13,X,+000004.7
20250120-231556,14,Y,+000003.7
20250120-231556,15,Z,+000006.5
20250120-231600,0,X,+000005.1
20250120-231600,0,Y,+000004.3
20250120-231600,1,Z,+000003.3
20250120-231600,2,X,+000003.7
20250120-231600,2,Y,+000003.7
20250120-231600,2,Z,+000003.7
20250120-231600,3,X,+000002.6
20250120-231600,3,Z,+000004.0
20250120-231600,4,X,+000002.7
20250120-231600,4,Z,-000003.5
20250120-231600,5,Z,+000003.8
20250120-231600,6,X,+000002.7
20250120-231600,6,Y,+000004.2
20250120-231600,8,Y,-000003.7
20250120-231600,8,Z,+000003.0
20250120-231600,9,Y,+000002.7
20250120-231600,9,Z,-000003.4
20250120-231600,10,Z,+000003.3
20250120-231600,11,X,+000007.3
20250120-231600,11,Y,+000003.4
20250120-231600,11,Z,-000004.3
20250120-231600,14,X,+000004.2
20250120-231600,15,X,-000005.5
20250120-231601,0,Z,+000005.1
20250120-231601,1,X,-000004.1
20250120-231601,1,Y,+000002.8
20250120-231601,1,Z,-000002.5
20250120-231601,2,X,+000003.3
20250120-231601,3,Y,+000004.1
20250120-231601,3,Z,+000004.8
20250120-231601,4,Y,+000007.1
20250120-231601,5,Y,+000004.8
20250120-231601,6,Y,+000003.8
20250120-231601,6,Z,-000004.0
20250120-231601,7,Y,+000003.7
20250120-231601,8,X,+000005.0
20250120-231601,8,Y,+000005.3
20250120-231601,8,Z,-000003.6
20250120-231601,10,X,-000003.3
20250120-231601,10,Y,-000003.0
20250120-231601,10,Z,-000002.9
20250120-231601,11,X,+000004.6
20250120-231601,11,Y,-000002.8
20250120-231601,13,X,-000003.5
20250120-231601,13,Y,-000003.6
20250120-231601,14,Y,-000004.9
20250120-231601,14,Z,+000002.9
20250120-231601,15,Z,+000004.5
20250120-231602,0,Y,+000003.2
20250120-231602,0,Z,+000004.7
20250120-231602,1,Y,-000002.7
20250120-231602,1,Z,+000004.9
20250120-231602,2,X,+000002.9
20250120-231602,2,Z,-000002.9
20250120-231602,3,Y,+000003.7
20250120-231602,4,X,-000003.9
20250120-231602,4,Y,+000003.6
20250120-231602,4,Z,-000003.1
20250120-231602,5,X,-000003.3
20250120-231602,5,Y,+000002.8
20250120-231602,5,Z,+000003.8
20250120-231602,6,Z,-000005.2
20250120-231602,7,X,-000005.2
20250120-231602,7,Z,+000003.9
20250120-231602,8,Z,-000003.2
20250120-231602,9,Y,+000003.0
20250120-231602,10,Z,-000003.7
20250120-231602,11,Y,+000007.7
20250120-231602,12,X,-000002.7
20250120-231602,12,Z,+000002.6
20250120-231602,13,X,+000004.3
20250120-231602,10,X,-000002.8
20250120-231603,10,X,-000002.8
20250120-231603,10,X,-000002.7
20250120-231604,10,X,-000002.5
20250120-231604,0,Z,-000005.0
20250120-231604,1,Y,+000004.7
20250120-231604,3,X,+000004.2
20250120-231604,4,Y,-000006.4
20250120-231604,6,X,-000002.7
20250120-231604,6,Z,-000003.3
20250120-231604,10,Y,-000003.7
20250120-231604,11,Y,-000006.3
20250120-231604,11,Z,-000005.5
20250120-231604,12,X,+000004.7
20250120-231604,12,Y,-000003.5
20250120-231604,14,Y,+000004.1
20250120-231604,14,Z,+000004.1
20250120-231604,15,X,+000003.0
20250120-231605,0,X,-000004.2
20250120-231605,1,X,-000002.9
20250120-231605,1,Z,+000003.7
20250120-231605,2,Y,-000005.6
20250120-231605,3,X,+000007.7
20250120-231605,3,Y,-000002.9
20250120-231605,3,Z,+000002.9
20250120-231605,4,X,-000003.9
20250120-231605,6,Y,+000006.1
20250120-231605,7,Y,+000002.9
20250120-231605,9,Z,-000003.4
20250120-231605,10,X,-000003.3
20250120-231605,11,Y,+000003.4
20250120-231605,11,Z,-000003.1
20250120-231605,12,Z,-000005.2
20250120-231605,14,X,-000006.7
20250120-231605,14,Y,+000002.5
20250120-231605,15,X,-000005.1
20250120-231605,15,Y,+000003.9
20250120-231605,10,X,-000002.6
20250120-231606,0,X,-000003.8
20250120-231606,0,Z,+000003.5
20250120-231606,1,X,+000006.0
20250120-231606,1,Y,-000005.0
20250120-231606,1,Z,-000004.8
20250120-231606,4,Y,+000005.2
20250120-231606,4,Z,+000004.7
20250120-231606,6,X,-000005.8
20250120-231606,6,Y,+000004.6
20250120-231606,6,Z,-000005.2
20250120-231606,7,Z,-000005.4
20250120-231606,9,Z,+000004.8
20250120-231606,10,X,-000006.8
20250120-231606,10,Y,-000004.9
20250120-231606,10,Z,+000002.5
20250120-231606,11,Y,-000004.7
20250120-231606,12,X,-000002.7
20250120-231606,12,Y,-000005.0
20250120-231606,15,Z,-000004.8
20250120-231606,10,X,-000003.3
20250120-231606,10,X,-000002.7
20250120-231607,10,X,-000003.0
20250120-231607,10,X,-000002.5
20250120-231607,0,X,-000005.3
20250120-231607,0,Z,-000005.4
20250120-231607,1,X,+000003.3
20250120-231607,1,Z,-000003.3
20250120-231607,2,X,-000003.7
20250120-231607,2,Y,+000003.0
20250120-231607,3,Z,-000004.9
20250120-231607,5,X,-000006.8
20250120-231607,5,Y,+000005.9
20250120-231607,5,Z,+000003.4
20250120-231607,6,X,-000003.5
20250120-231607,7,X,-000004.4
20250120-231607,7,Y,-000010.7
20250120-231607,7,Z,-000003.1
20250120-231607,8,Y,-000002.9
20250120-231607,8,Z,+000003.4
20250120-231607,9,Y,+000005.0
