时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-233731,0,X,-4179632.8
20250120-233731,0,Y,-3563985.1
20250120-233731,0,Z,-3250328.4
20250120-233731,1,X,-3821891.9
20250120-233731,1,Y,-3149410.9
20250120-233731,1,Z,-1146239.5
20250120-233731,2,X,-3418200.1
20250120-233731,2,Y,+3781397.1
20250120-233731,2,Z,+963148.2
20250120-233731,3,X,-2326015.9
20250120-233731,3,Y,-2999568.9
20250120-233731,3,Z,-2983754.2
20250120-233731,4,X,-1530947.4
20250120-233731,4,Y,+4175813.9
20250120-233731,4,Z,-1918797.5
20250120-233731,5,X,-8665507.5
20250120-233731,5,Y,-2783693.2
20250120-233731,5,Z,-2201630.3
20250120-233731,6,X,-2387898.0
20250120-233731,6,Y,-2653324.2
20250120-233731,6,Z,-001384.4
20250120-233731,7,X,+085619.7
20250120-233731,7,Y,-639233.9
20250120-233731,7,Z,-3526896.2
20250120-233731,8,X,-401624.9
20250120-233731,8,Y,-915394.9
20250120-233731,8,Z,-1053726.7
20250120-233731,9,X,-894649.2
20250120-233731,9,Y,-634344.7
20250120-233731,9,Z,-1224033.4
20250120-233731,10,X,-889707.4
20250120-233731,10,Y,-718186.6
20250120-233731,10,Z,-946180.3
20250120-233731,11,X,-1123185.4
20250120-233731,11,Y,+174877.4
20250120-233731,11,Z,-542391.4
20250120-233731,12,X,-1112677.4
20250120-233731,12,Y,-1421912.7
20250120-233731,12,Z,-637386.1
20250120-233731,13,X,-362509.8
20250120-233731,13,Y,-428242.6
20250120-233731,13,Z,-839531.5
20250120-233731,14,X,-183639.3
20250120-233731,14,Y,-658626.9
20250120-233731,14,Z,-004999.6
20250120-233731,15,X,+297892.0
20250120-233731,15,Y,+1365651.4
20250120-233731,15,Z,-133687.6
20250120-233732,0,X,-8776514.5
20250120-233732,0,Y,-7476425.4
20250120-233732,0,Z,-6795562.6
20250120-233732,1,X,-7925642.8
20250120-233732,1,Y,-6575886.4
20250120-233732,1,Z,-2436792.9
20250120-233732,2,X,-7160761.0
20250120-233732,2,Y,+7864430.7
20250120-233732,2,Z,+2025004.4
20250120-233732,3,X,-4863691.8
20250120-233732,3,Y,-6967853.1
20250120-233732,3,Z,-6240818.3
20250120-233732,4,X,-3200252.6
20250120-233732,4,Y,+8747143.8
20250120-233732,4,Z,-3936551.6
20250120-233732,5,X,-14650471.5
20250120-233732,5,Y,-5794871.1
20250120-233732,5,Z,-4567245.5
20250120-233732,6,X,-5014001.0
20250120-233732,6,Y,-5546293.1
20250120-233732,6,Z,+000353.7
20250120-233732,7,X,+038251.3
