时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-233732,7,Y,-1216778.2
20250120-233732,7,Z,-7381580.2
20250120-233732,0,X,-8759224.9
20250120-233732,0,Y,-7429326.3
20250120-233732,0,Z,-6783936.8
20250120-233732,1,X,-7954856.2
20250120-233732,1,Y,-6607186.5
20250120-233732,1,Z,-2401021.4
20250120-233732,2,X,-7164338.1
20250120-233732,2,Y,+7883508.8
20250120-233732,2,Z,+1953163.4
20250120-233732,3,X,-4819275.6
20250120-233732,3,Y,-6972026.4
20250120-233732,3,Z,-6234856.3
20250120-233732,4,X,-3227379.3
20250120-233732,4,Y,+8819283.0
20250120-233732,4,Z,-3999151.7
20250120-233732,5,X,-14648384.8
20250120-233732,5,Y,-5775196.8
20250120-233732,5,Z,-4552936.9
20250120-233732,6,X,-4968690.4
20250120-233732,6,Y,-5539436.9
20250120-233732,6,Z,+000354.8
20250120-233732,7,X,+038251.3
20250120-233732,7,Y,-1260598.3
20250120-233732,7,Z,-7393205.9
20250120-233732,8,X,-2276092.1
20250120-233732,8,Y,-5181189.4
20250120-233732,8,Z,-6038106.3
20250120-233732,9,X,-5160214.2
20250120-233732,9,Y,-3687827.2
20250120-233732,9,Z,-7015603.6
20250120-233732,10,X,-5148294.8
20250120-233732,10,Y,-4120860.5
20250120-233732,10,Z,-5536127.4
20250120-233732,11,X,-6446803.6
20250120-233732,11,Y,-737156.2
20250120-233732,11,Z,-3100712.3
20250120-233732,12,X,-6480805.9
20250120-233732,12,Y,-8108422.6
20250120-233732,12,Z,-3680233.0
20250120-233732,13,X,-2144094.9
20250120-233732,13,Y,-2500646.8
20250120-233732,13,Z,-4686895.8
20250120-233732,14,X,-1175009.5
20250120-233732,14,Y,-3820295.3
20250120-233732,14,Z,+000099.7
20250120-233732,15,X,+208714.8
20250120-233732,15,Y,+7840314.0
20250120-233732,15,Z,-807417.2
20250120-233732,0,X,-8644458.1
20250120-233732,0,Y,-7439163.5
20250120-233732,0,Z,-6795562.6
20250120-233732,1,X,-7960221.9
20250120-233732,1,Y,-6560087.4
20250120-233732,1,Z,-2384328.1
20250120-233732,2,X,-7131547.6
20250120-233732,2,Y,+7895730.7
20250120-233732,2,Z,+2055708.3
20250120-233732,3,X,-4850277.5
20250120-233732,3,Y,-6899291.1
20250120-233732,3,Z,-6235154.4
20250120-233732,4,X,-3205618.4
20250120-233732,4,Y,+8816003.9
20250120-233732,4,Z,-3995574.5
20250120-233732,5,X,-14680877.2
20250120-233732,5,Y,-5783543.4
20250120-233732,5,Z,-4571418.8
20250120-233732,6,X,-5022347.6
20250120-233732,6,Y,-5565967.4
20250120-233732,6,Z,+000356.0
20250120-233732,7,X,+038251.3
20250120-233732,7,Y,-1175939.1
20250120-233732,7,Z,-7388138.3
20250120-233732,8,X,-2393236.3
20250120-233732,8,Y,-5408635.9
20250120-233732,8,Z,-6298040.2
20250120-233732,9,X,-5393617.8
20250120-233732,9,Y,-3916470.5
20250120-233732,9,Z,-7309522.4
20250120-233732,10,X,-5328935.7
20250120-233732,10,Y,-4295544.0
20250120-233732,10,Z,-5723624.8
20250120-233732,11,X,-6735057.1
20250120-233732,11,Y,-866826.3
20250120-233732,11,Z,-3233659.4
20250120-233732,12,X,-6774128.0
20250120-233732,12,Y,-8426189.1
20250120-233732,12,Z,-3831066.9
20250120-233732,13,X,-2201622.5
20250120-233732,13,Y,-2616006.3
20250120-233732,13,Z,-4933120.2
20250120-233732,14,X,-1262347.7
20250120-233732,14,Y,-4016139.5
20250120-233732,14,Z,+000242.6
20250120-233732,15,X,-191327.8
20250120-233732,15,Y,+8164646.3
20250120-233732,15,Z,-799065.5
20250120-233732,0,X,-8749089.7
20250120-233732,0,Y,-7468376.8
20250120-233732,0,Z,-6769330.2
20250120-233732,1,X,-7900900.9
20250120-233732,1,Y,-6624476.0
20250120-233732,1,Z,-2425167.2
20250120-233732,2,X,-7183714.3
20250120-233732,2,Y,+7896326.9
20250120-233732,2,Z,+2013974.9
20250120-233732,3,X,-4884856.6
20250120-233732,3,Y,-6900781.6
20250120-233732,3,Z,-6225317.3
20250120-233732,4,X,-3188626.9
20250120-233732,4,Y,+8741480.0
20250120-233732,4,Z,-3950562.1
20250120-233732,5,X,-14678492.5
20250120-233732,5,Y,-5780264.4
20250120-233732,5,Z,-4595862.6
20250120-233732,6,X,-4977335.2
20250120-233732,6,Y,-5541821.6
20250120-233732,6,Z,+000357.2
20250120-233732,7,X,+038251.3
20250120-233732,7,Y,-1305312.7
20250120-233732,7,Z,-7391417.3
20250120-233732,8,X,-2371475.3
20250120-233732,8,Y,-5425925.4
20250120-233732,8,Z,-6308473.6
20250120-233732,9,X,-5359933.0
20250120-233732,9,Y,-3903354.2
20250120-233732,9,Z,-7288953.8
20250120-233732,10,X,-5373650.1
20250120-233732,10,Y,-4315814.5
20250120-233732,10,Z,-5762675.4
20250120-233732,11,X,-6689746.5
20250120-233732,11,Y,-803033.8
20250120-233732,11,Z,-3267344.2
20250120-233732,12,X,-6775618.5
20250120-233732,12,Y,-8449142.5
20250120-233732,12,Z,-3835240.3
20250120-233732,13,X,-2209969.1
20250120-233732,13,Y,-2594245.3
20250120-233732,13,Z,-4940870.7
20250120-233732,14,X,-1168447.6
20250120-233732,14,Y,-3994974.7
20250120-233732,14,Z,+000250.0
20250120-233732,15,X,+038205.9
20250120-233732,15,Y,+8148847.2
20250120-233732,15,Z,-774025.5
20250120-233733,0,X,-8758628.7
20250120-233733,0,Y,-7411142.5
20250120-233733,0,Z,-6779763.5
20250120-233733,1,X,-7992714.3
20250120-233733,1,Y,-6563962.6
20250120-233733,1,Z,-2364057.6
20250120-233733,2,X,-7119325.7
20250120-233733,2,Y,+7866517.4
20250120-233733,2,Z,+1996387.2
20250120-233733,3,X,-4834180.4
20250120-233733,3,Y,-6907637.8
20250120-233733,3,Z,-6213691.5
20250120-233733,4,X,-3159115.4
20250120-233733,4,Y,+8784405.8
20250120-233733,4,Z,-4034327.0
20250120-233733,5,X,-14654644.8
20250120-233733,5,Y,-5800833.0
20250120-233733,5,Z,-4577678.8
20250120-233733,6,X,-4966305.6
20250120-233733,6,Y,-5497703.5
20250120-233733,6,Z,+000358.3
20250120-233733,7,X,+038251.3
20250120-233733,7,Y,-1297860.3
20250120-233733,7,Z,-7363396.3
20250120-233733,8,X,-2373263.9
20250120-233733,8,Y,-5455735.0
20250120-233733,8,Z,-6339475.5
20250120-233733,9,X,-5376924.5
20250120-233733,9,Y,-3877121.8
20250120-233733,9,Z,-7352746.2
20250120-233733,10,X,-5367986.3
20250120-233733,10,Y,-4323266.9
20250120-233733,10,Z,-5752540.1
20250120-233733,11,X,-6726710.4
20250120-233733,11,Y,-779782.4
20250120-233733,11,Z,-3283441.3
20250120-233733,12,X,-6790821.4
20250120-233733,12,Y,-8478654.0
20250120-233733,12,Z,-3858789.8
20250120-233733,13,X,-2184034.8
20250120-233733,13,Y,-2643431.1
20250120-233733,13,Z,-4921196.4
20250120-233733,14,X,-1197959.0
20250120-233733,14,Y,-3978877.6
20250120-233733,14,Z,+000251.2
20250120-233733,15,X,+038205.9
20250120-233733,15,Y,+8152126.3
20250120-233733,15,Z,-757928.3
20250120-233733,0,X,-8602426.6
20250120-233733,0,Y,-7417104.4
20250120-233733,0,Z,-6763368.2
20250120-233733,1,X,-7953365.7
20250120-233733,1,Y,-6537134.0
20250120-233733,1,Z,-2410858.6
20250120-233733,2,X,-7139894.3
20250120-233733,2,Y,+7943724.2
20250120-233733,2,Z,+2021129.2
20250120-233733,3,X,-4848489.0
20250120-233733,3,Y,-6932081.6
20250120-233733,3,Z,-6261983.1
20250120-233733,4,X,-3193694.5
20250120-233733,4,Y,+8794839.1
20250120-233733,4,Z,-4005113.6
20250120-233733,5,X,-14642124.8
20250120-233733,5,Y,-5790697.7
20250120-233733,5,Z,-4577678.8
20250120-233733,6,X,-5024434.3
20250120-233733,6,Y,-5541523.5
20250120-233733,6,Z,+000359.5
20250120-233733,7,X,+038251.3
20250120-233733,7,Y,-1241222.1
20250120-233733,7,Z,-7394696.4
20250120-233733,8,X,-914194.3
20250120-233733,8,Y,-2036883.0
20250120-233733,8,Z,-2380545.3
20250120-233733,9,X,-2027897.8
20250120-233733,9,Y,-1452654.2
20250120-233733,9,Z,-2742150.9
20250120-233733,10,X,-1996301.2
20250120-233733,10,Y,-1591825.0
20250120-233733,10,Z,-2140285.8
20250120-233733,11,X,-2534663.2
20250120-233733,11,Y,-293312.9
20250120-233733,11,Z,-1220968.8
20250120-233733,12,X,-2525132.5
20250120-233733,12,Y,-3170515.8
20250120-233733,12,Z,-1432924.2
20250120-233733,13,X,-808989.3
20250120-233733,13,Y,-988156.8
20250120-233733,13,Z,-1832965.9
20250120-233733,14,X,-450390.2
20250120-233733,14,Y,-1518162.7
20250120-233733,14,Z,+000095.4
20250120-233733,15,X,+1731358.0
20250120-233733,15,Y,+3064761.0
20250120-233733,15,Z,-301326.6
20250120-233733,0,X,-8715106.7
20250120-233733,0,Y,-7427835.8
20250120-233733,0,Z,-6816727.4
20250120-233733,1,X,-7920873.3
20250120-233733,1,Y,-6552933.1
20250120-233733,1,Z,-2425465.3
20250120-233733,2,X,-7124393.3
20250120-233733,2,Y,+7930309.8
20250120-233733,2,Z,+2013974.9
20250120-233733,3,X,-4874721.4
20250120-233733,3,Y,-6941620.7
20250120-233733,3,Z,-6210710.6
20250120-233733,4,X,-3295643.3
20250120-233733,4,Y,+8824350.6
20250120-233733,4,Z,-3935061.1
20250120-233733,5,X,-14604266.6
20250120-233733,5,Y,-5820507.3
20250120-233733,5,Z,-4584535.0
20250120-233733,6,X,-4976142.8
20250120-233733,6,Y,-5544206.4
20250120-233733,6,Z,+000360.6
20250120-233733,7,X,+038251.3
20250120-233733,7,Y,-1202469.6
20250120-233733,7,Z,-7345212.5
20250120-233734,0,X,-8749685.8
20250120-233734,0,Y,-7417998.7
20250120-233734,0,Z,-6795562.6
20250120-233734,1,X,-7972443.8
20250120-233734,1,Y,-6547865.4
20250120-233734,1,Z,-2358691.8
20250120-233734,2,X,-7146452.4
20250120-233734,2,Y,+7898413.6
20250120-233734,2,Z,+2024706.3
20250120-233734,3,X,-4860710.9
20250120-233734,3,Y,-6957717.9
20250120-233734,3,Z,-6227702.0
20250120-233734,4,X,-3205022.2
20250120-233734,4,Y,+8808849.6
20250120-233734,4,Z,-4019422.2
20250120-233734,5,X,-14672828.6
20250120-233734,5,Y,-5790399.6
20250120-233734,5,Z,-4589304.5
20250120-233734,6,X,-4995220.9
20250120-233734,6,Y,-5545398.8
20250120-233734,6,Z,+000361.8
20250120-233734,7,X,+038251.3
20250120-233734,7,Y,-1147023.8
20250120-233734,7,Z,-7362203.9
20250120-233734,0,X,-8751474.4
20250120-233734,0,Y,-7457049.2
20250120-233734,0,Z,-6783340.6
20250120-233734,1,X,-7967078.1
20250120-233734,1,Y,-6552635.0
20250120-233734,1,Z,-2453486.3
20250120-233734,2,X,-7119325.7
20250120-233734,2,Y,+7895134.6
20250120-233734,2,Z,+2052727.3
20250120-233734,3,X,-4872932.8
20250120-233734,3,Y,-6907041.6
20250120-233734,3,Z,-6265858.3
20250120-233734,4,X,-3250034.6
20250120-233734,4,Y,+8707199.0
20250120-233734,4,Z,-4003921.2
20250120-233734,5,X,-14644509.5
20250120-233734,5,Y,-5808583.5
20250120-233734,5,Z,-4546676.9
20250120-233734,6,X,-4995519.0
20250120-233734,6,Y,-5565669.3
20250120-233734,6,Z,+000363.0
20250120-233734,7,X,+038251.3
20250120-233734,7,Y,-1289513.6
20250120-233734,7,Z,-7370848.7
20250120-233734,0,X,-8747301.1
20250120-233734,0,Y,-7375371.0
20250120-233734,0,Z,-6754127.3
20250120-233734,1,X,-7997782.0
20250120-233734,1,Y,-6614638.9
20250120-233734,1,Z,-2393867.1
20250120-233734,2,X,-7170598.1
20250120-233734,2,Y,+7896326.9
20250120-233734,2,Z,+2074488.3
20250120-233734,3,X,-4879490.9
20250120-233734,3,Y,-6963977.9
20250120-233734,3,Z,-6226509.7
20250120-233734,4,X,-3185645.9
20250120-233734,4,Y,+8791262.0
20250120-233734,4,Z,-3975304.0
20250120-233734,5,X,-14639740.0
20250120-233734,5,Y,-5807391.1
20250120-233734,5,Z,-4569332.1
20250120-233734,6,X,-5025328.6
20250120-233734,6,Y,-5549274.0
20250120-233734,6,Z,+000364.1
20250120-233734,7,X,+038251.3
20250120-233734,7,Y,-1320217.4
20250120-233734,7,Z,-7381580.2
20250120-233734,0,X,-8686191.5
20250120-233734,0,Y,-7439461.6
20250120-233734,0,Z,-6803015.0
20250120-233734,1,X,-7951577.1
20250120-233734,1,Y,-6611061.7
20250120-233734,1,Z,-2370615.7
20250120-233734,2,X,-7147048.6
20250120-233734,2,Y,+7889172.6
20250120-233734,2,Z,+2001156.8
20250120-233734,3,X,-4852066.1
20250120-233734,3,Y,-6924629.2
20250120-233734,3,Z,-6210710.6
20250120-233734,4,X,-3225292.7
20250120-233734,4,Y,+8776059.1
20250120-233734,4,Z,-4056386.0
20250120-233734,5,X,-14598900.9
20250120-233734,5,Y,-5781456.8
20250120-233734,5,Z,-4567245.5
20250120-233734,6,X,-5002673.3
20250120-233734,6,Y,-5546591.2
20250120-233734,6,Z,+000365.3
20250120-233734,7,X,+038251.3
20250120-233734,7,Y,-1241222.1
20250120-233734,7,Z,-7410197.3
20250120-233734,0,X,-8770254.4
20250120-233734,0,Y,-7448702.5
20250120-233734,0,Z,-6793475.9
20250120-233734,1,X,-8009407.7
20250120-233734,1,Y,-6543095.9
20250120-233734,1,Z,-2425763.4
20250120-233734,2,X,-7150923.8
20250120-233734,2,Y,+7917491.7
20250120-233734,2,Z,+2050342.6
20250120-233734,3,X,-4864586.1
20250120-233734,3,Y,-6969045.5
20250120-233734,3,Z,-6258405.9
20250120-233734,4,X,-3155836.4
20250120-233734,4,Y,+8784405.8
20250120-233734,4,Z,-3952648.7
20250120-233734,5,X,-14649279.1
20250120-233734,5,Y,-5760292.0
20250120-233734,5,Z,-4561581.6
20250120-233734,6,X,-4996413.3
20250120-233734,6,Y,-5546293.1
20250120-233734,6,Z,+000366.5
20250120-233734,7,X,+038251.3
20250120-233734,7,Y,-1219759.2
20250120-233734,7,Z,-7361309.6
20250120-233735,0,X,-8684402.9
20250120-233735,0,Y,-7429326.3
20250120-233735,0,Z,-6808678.8
20250120-233735,1,X,-7953961.9
20250120-233735,1,Y,-6596753.1
20250120-233735,1,Z,-2373298.5
20250120-233735,2,X,-7151520.0
20250120-233735,2,Y,+7883806.9
20250120-233735,2,Z,+2011590.1
20250120-233735,3,X,-4859816.6
20250120-233735,3,Y,-6944005.4
20250120-233735,3,Z,-6219057.3
20250120-233735,4,X,-3250034.6
20250120-233735,4,Y,+8799608.7
20250120-233735,4,Z,-3987824.0
20250120-233735,5,X,-14639740.0
20250120-233735,5,Y,-5788611.1
20250120-233735,5,Z,-4574697.9
20250120-233735,6,X,-4989855.2
20250120-233735,6,Y,-5554043.6
20250120-233735,6,Z,+000367.6
20250120-233735,7,X,+038251.3
20250120-233735,7,Y,-1136590.5
20250120-233735,7,Z,-7363694.4
20250120-233735,0,X,-8763100.1
20250120-233735,0,Y,-7447212.0
20250120-233735,0,Z,-6782148.3
20250120-233735,1,X,-7899112.3
20250120-233735,1,Y,-6611061.7
20250120-233735,1,Z,-2459150.1
20250120-233735,2,X,-7173281.0
20250120-233735,2,Y,+7879037.4
20250120-233735,2,Z,+1999666.3
20250120-233735,3,X,-4870846.1
20250120-233735,3,Y,-6941024.5
20250120-233735,3,Z,-6225019.2
20250120-233735,4,X,-3175212.6
20250120-233735,4,Y,+8789175.3
20250120-233735,4,Z,-4011969.8
20250120-233735,5,X,-14677300.1
20250120-233735,5,Y,-5820507.3
20250120-233735,5,Z,-4606296.0
20250120-233735,6,X,-5027415.3
20250120-233735,6,Y,-5532580.7
20250120-233735,6,Z,+000368.8
20250120-233735,7,X,+038251.3
20250120-233735,7,Y,-1310976.5
20250120-233735,7,Z,-7386051.6
20250120-233735,0,X,-8729117.2
20250120-233735,0,Y,-7430816.8
20250120-233735,0,Z,-6805995.9
20250120-233735,1,X,-7999570.5
20250120-233735,1,Y,-6591387.4
20250120-233735,1,Z,-2424571.0
20250120-233735,2,X,-7135720.9
20250120-233735,2,Y,+7938954.6
20250120-233735,2,Z,+2031860.6
20250120-233735,3,X,-4882471.9
20250120-233735,3,Y,-6927908.3
20250120-233735,3,Z,-6232769.7
20250120-233735,4,X,-3241687.9
20250120-233735,4,Y,+8816003.9
20250120-233735,4,Z,-3945494.4
20250120-233735,5,X,-14619171.4
20250120-233735,5,Y,-5801131.1
20250120-233735,5,Z,-4583342.6
20250120-233735,6,X,-5013106.7
20250120-233735,6,Y,-5526618.8
20250120-233735,6,Z,+000370.0
20250120-233735,7,X,+038251.3
20250120-233735,7,Y,-1278185.9
20250120-233735,7,Z,-7370848.7
20250120-233736,0,X,-8718982.0
20250120-233736,0,Y,-7438269.2
20250120-233736,0,Z,-6822391.2
20250120-233736,1,X,-7972443.8
20250120-233736,1,Y,-6555317.8
20250120-233736,1,Z,-2442754.8
20250120-233736,2,X,-7179839.1
20250120-233736,2,Y,+7929117.5
20250120-233736,2,Z,+1996387.2
20250120-233736,3,X,-4846700.4
20250120-233736,3,Y,-6952054.0
20250120-233736,3,Z,-6208325.8
20250120-233736,4,X,-3145403.0
20250120-233736,4,Y,+8770693.4
20250120-233736,4,Z,-3999151.7
20250120-233736,5,X,-14612315.2
20250120-233736,5,Y,-5835114.0
20250120-233736,5,Z,-4617027.4
20250120-233736,6,X,-4985681.9
20250120-233736,6,Y,-5564178.8
20250120-233736,6,Z,+000371.1
20250120-233736,7,X,+038251.3
20250120-233736,7,Y,-1232279.2
20250120-233736,7,Z,-7384561.1
20250120-233736,0,X,-8754157.3
20250120-233736,0,Y,-7409652.0
20250120-233736,0,Z,-6796755.0
20250120-233736,1,X,-7952173.3
20250120-233736,1,Y,-6563664.5
20250120-233736,1,Z,-2364057.6
20250120-233736,2,X,-7156885.7
20250120-233736,2,Y,+7886191.7
20250120-233736,2,Z,+2005628.2
20250120-233736,3,X,-4818381.3
20250120-233736,3,Y,-6902570.1
20250120-233736,3,Z,-6243501.1
20250120-233736,4,X,-3234533.6
20250120-233736,4,Y,+8817494.4
20250120-233736,4,Z,-4033730.8
20250120-233736,5,X,-14631393.3
20250120-233736,5,Y,-5769831.0
20250120-233736,5,Z,-4565158.8
20250120-233736,6,X,-5025626.7
20250120-233736,6,Y,-5541523.5
20250120-233736,6,Z,+000372.3
20250120-233736,7,X,+038251.3
20250120-233736,7,Y,-1184882.0
20250120-233736,7,Z,-7404831.6
20250120-233736,0,X,-8756243.9
20250120-233736,0,Y,-7402497.7
20250120-233736,0,Z,-6749357.7
20250120-233736,1,X,-7996291.5
20250120-233736,1,Y,-6569924.5
20250120-233736,1,Z,-2380452.8
20250120-233736,2,X,-7178348.6
20250120-233736,2,Y,+7911231.7
20250120-233736,2,Z,+2053323.5
20250120-233736,3,X,-4811227.0
20250120-233736,3,Y,-6926417.8
20250120-233736,3,Z,-6228298.2
20250120-233736,4,X,-3195185.0
20250120-233736,4,Y,+8817792.5
20250120-233736,4,Z,-3978285.0
20250120-233736,5,X,-14671040.1
20250120-233736,5,Y,-5784139.6
20250120-233736,5,Z,-4588112.2
20250120-233736,6,X,-4999096.2
20250120-233736,6,Y,-5539138.8
20250120-233736,6,Z,+000373.5
20250120-233736,7,X,+038251.3
20250120-233736,7,Y,-1170573.4
20250120-233736,7,Z,-7406620.2
20250120-233736,0,X,-8735377.2
20250120-233736,0,Y,-7405180.5
20250120-233736,0,Z,-6805101.6
20250120-233736,1,X,-7961116.2
20250120-233736,1,Y,-6558596.9
20250120-233736,1,Z,-2419205.3
20250120-233736,2,X,-7148837.1
20250120-233736,2,Y,+7886191.7
20250120-233736,2,Z,+2013080.6
20250120-233736,3,X,-4876510.0
20250120-233736,3,Y,-6926715.9
20250120-233736,3,Z,-6211903.0
20250120-233736,4,X,-3199954.5
20250120-233736,4,Y,+8795137.2
20250120-233736,4,Z,-4006902.2
20250120-233736,5,X,-14651365.7
20250120-233736,5,Y,-5766850.1
20250120-233736,5,Z,-4598545.5
20250120-233736,6,X,-5001182.8
20250120-233736,6,Y,-5530195.9
20250120-233736,6,Z,+000374.6
20250120-233736,7,X,+038251.3
20250120-233736,7,Y,-1275801.2
20250120-233736,7,Z,-7387542.1
20250120-233737,0,X,-8736271.5
20250120-233737,0,Y,-7420085.3
20250120-233737,0,Z,-6772311.1
20250120-233737,1,X,-7964097.1
20250120-233737,1,Y,-6617619.8
20250120-233737,1,Z,-2415628.1
20250120-233737,2,X,-7160164.8
20250120-233737,2,Y,+7902586.9
20250120-233737,2,Z,+2045274.9
20250120-233737,3,X,-4873529.0
20250120-233737,3,Y,-6951457.8
20250120-233737,3,Z,-6237539.2
20250120-233737,4,X,-3176703.1
20250120-233737,4,Y,+8787982.9
20250120-233737,4,Z,-4034028.9
20250120-233737,5,X,-14665078.1
20250120-233737,5,Y,-5805900.6
20250120-233737,5,Z,-4560985.5
20250120-233737,6,X,-5032482.9
20250120-233737,6,Y,-5521849.2
20250120-233737,6,Z,+000375.8
20250120-233737,7,X,+038251.3
20250120-233737,7,Y,-1340487.9
20250120-233737,7,Z,-7392311.6
20250120-233737,0,X,-8736569.6
20250120-233737,0,Y,-7406372.9
20250120-233737,0,Z,-6798543.5
20250120-233737,1,X,-7930412.3
20250120-233737,1,Y,-6616129.4
20250120-233737,1,Z,-2369721.4
20250120-233737,2,X,-7185204.8
20250120-233737,2,Y,+7908847.0
20250120-233737,2,Z,+2075978.8
20250120-233737,3,X,-4854749.0
20250120-233737,3,Y,-6927312.1
20250120-233737,3,Z,-6239924.0
20250120-233737,4,X,-3211282.2
20250120-233737,4,Y,+8711074.3
20250120-233737,4,Z,-3974409.7
20250120-233737,5,X,-14668357.2
20250120-233737,5,Y,-5794274.9
20250120-233737,5,Z,-4547273.0
20250120-233737,6,X,-4960939.9
20250120-233737,6,Y,-5521849.2
20250120-233737,6,Z,+000376.9
20250120-233737,7,X,+038251.3
20250120-233737,7,Y,-1199786.8
20250120-233737,7,Z,-7363396.3
20250120-233737,0,X,-8738060.1
20250120-233737,0,Y,-7413527.2
20250120-233737,0,Z,-6762175.9
20250120-233737,1,X,-7958731.4
20250120-233737,1,Y,-6632822.7
20250120-233737,1,Z,-2418311.0
20250120-233737,2,X,-7167915.3
20250120-233737,2,Y,+7917193.6
20250120-233737,2,Z,+2027091.1
20250120-233737,3,X,-4831497.5
20250120-233737,3,Y,-6921350.2
20250120-233737,3,Z,-6230981.1
20250120-233737,4,X,-3203829.8
20250120-233737,4,Y,+8819283.0
20250120-233737,4,Z,-3977688.8
20250120-233737,5,X,-14633480.0
20250120-233737,5,Y,-5751647.2
20250120-233737,5,Z,-4555321.6
20250120-233737,6,X,-4959747.5
20250120-233737,6,Y,-5527513.0
20250120-233737,6,Z,+000378.1
20250120-233737,7,X,+038251.3
20250120-233737,7,Y,-1254636.4
20250120-233737,7,Z,-7396484.9
20250120-233737,0,X,-8738060.1
20250120-233737,0,Y,-7398026.3
20250120-233737,0,Z,-6760089.2
20250120-233737,1,X,-7962904.8
20250120-233737,1,Y,-6575588.3
20250120-233737,1,Z,-2355114.7
20250120-233737,2,X,-7139894.3
20250120-233737,2,Y,+7921665.1
20250120-233737,2,Z,+2010695.8
20250120-233737,3,X,-4884260.4
20250120-233737,3,Y,-6962487.4
20250120-233737,3,Z,-6198190.6
20250120-233737,4,X,-3209195.5
20250120-233737,4,Y,+8778443.9
20250120-233737,4,Z,-3971130.7
20250120-233737,5,X,-14634076.2
20250120-233737,5,Y,-5732271.0
20250120-233737,5,Z,-4569034.0
20250120-233737,6,X,-5025626.7
20250120-233737,6,Y,-5536157.8
20250120-233737,6,Z,+000379.3
20250120-233737,7,X,+038251.3
20250120-233737,7,Y,-1214095.4
20250120-233737,7,Z,-7375022.1
20250120-233738,0,X,-8765783.0
20250120-233738,0,Y,-7411142.5
20250120-233738,0,Z,-6767839.7
20250120-233738,1,X,-7912228.5
20250120-233738,1,Y,-6583935.0
20250120-233738,1,Z,-2433215.8
20250120-233738,2,X,-7143173.3
20250120-233738,2,Y,+7943426.1
20250120-233738,2,Z,+2004435.8
20250120-233738,3,X,-4875317.6
20250120-233738,3,Y,-6956227.4
20250120-233738,3,Z,-6250357.3
20250120-233738,4,X,-3187732.6
20250120-233738,4,Y,+8787982.9
20250120-233738,4,Z,-3934763.0
20250120-233738,5,X,-14683560.1
20250120-233738,5,Y,-5760888.2
20250120-233738,5,Z,-4591987.4
20250120-233738,6,X,-5039637.2
20250120-233738,6,Y,-5543014.0
20250120-233738,6,Z,+000380.4
20250120-233738,7,X,+038251.3
20250120-233738,7,Y,-1326775.5
20250120-233738,7,Z,-7402446.9
20250120-233738,0,X,-8731502.0
20250120-233738,0,Y,-7409950.1
20250120-233738,0,Z,-6782744.5
20250120-233738,1,X,-8023120.1
20250120-233738,1,Y,-6595560.8
20250120-233738,1,Z,-2424571.0
20250120-233738,2,X,-7098459.0
