时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-225311,0,X,-000008.2
20250120-225311,0,Z,-000004.2
20250120-225311,1,Z,+000003.2
20250120-225311,2,Y,-000004.6
20250120-225311,3,X,-000003.9
20250120-225311,3,Y,+000003.7
20250120-225311,5,Z,+000004.5
20250120-225311,6,X,-000002.7
20250120-225311,6,Y,-000004.0
20250120-225311,6,Z,-000003.0
20250120-225311,8,Y,+000002.7
20250120-225311,9,Y,-000004.8
20250120-225311,9,Z,+000003.7
20250120-225311,10,X,+000003.9
20250120-225311,11,Y,+000003.5
20250120-225311,12,X,-000002.8
20250120-225311,13,X,+000005.3
20250120-225311,15,Z,+000003.3
20250120-225312,0,X,+000004.2
20250120-225312,0,Z,-000003.0
20250120-225312,1,X,+000005.9
20250120-225312,3,X,+000003.5
20250120-225312,3,Y,+000004.0
20250120-225312,4,X,-000002.8
20250120-225312,4,Y,+000002.6
20250120-225312,4,Z,+000006.5
20250120-225312,6,X,-000003.4
20250120-225312,6,Z,+000003.2
20250120-225312,7,X,-000003.6
20250120-225312,7,Y,+000004.0
20250120-225312,8,Z,+000003.9
20250120-225312,10,Z,-000004.8
20250120-225312,11,Z,+000002.8
20250120-225312,12,X,-000004.0
20250120-225312,12,Z,-000003.3
20250120-225312,13,Y,+000005.3
20250120-225312,13,Z,+000003.5
20250120-225312,15,Y,-000004.1
20250120-225312,15,Z,-000005.2
20250120-225313,0,X,-000002.6
20250120-225313,0,X,-000003.2
20250120-225313,1,Z,+000005.5
20250120-225313,5,X,+000002.8
20250120-225313,5,Y,+000005.9
20250120-225313,6,X,-000004.6
20250120-225313,6,Y,-000008.3
20250120-225313,7,Z,-000005.1
20250120-225313,8,Z,-000003.1
20250120-225313,9,Z,+000003.7
20250120-225313,13,X,+000004.1
20250120-225313,14,Z,+000002.7
20250120-225313,15,X,-000004.8
20250120-225314,0,X,-000004.7
20250120-225314,0,Y,-000004.1
20250120-225314,1,X,-000004.2
20250120-225314,2,X,+000005.7
20250120-225314,3,Y,-000005.3
20250120-225314,3,Z,-000002.6
20250120-225314,4,X,+000005.7
20250120-225314,4,Y,+000007.2
20250120-225314,5,Y,+000002.8
20250120-225314,5,Z,-000002.8
20250120-225314,7,X,-000007.5
20250120-225314,7,Z,+000003.0
20250120-225314,8,X,-000002.8
20250120-225314,9,X,-000002.9
20250120-225314,9,Z,+000004.5
20250120-225314,11,Y,+000002.7
20250120-225314,11,Z,+000003.9
20250120-225314,13,X,-000002.5
20250120-225314,13,Z,-000002.7
20250120-225314,15,Y,+000006.7
20250120-225315,0,X,-000004.7
20250120-225315,0,Z,+000004.3
20250120-225315,2,X,+000004.2
20250120-225315,4,Y,-000006.3
20250120-225315,5,X,+000003.6
20250120-225315,5,Y,+000003.6
20250120-225315,5,Z,-000002.8
20250120-225315,6,X,-000008.1
20250120-225315,8,X,+000002.6
20250120-225315,9,X,+000002.9
20250120-225315,10,Y,+000006.3
20250120-225315,10,Z,-000003.3
20250120-225315,12,X,+000003.0
20250120-225315,12,Y,-000007.0
20250120-225315,12,Z,+000005.6
20250120-225315,13,Y,-000004.4
20250120-225315,14,Z,-000005.8
20250120-225315,15,X,+000003.3
20250120-225315,15,Z,+000006.0
20250120-225317,0,X,+000003.0
20250120-225317,0,Z,-000004.6
20250120-225317,2,Y,-000005.0
20250120-225317,2,Z,-000002.7
20250120-225317,5,Y,+000004.4
20250120-225317,6,X,-000006.9
20250120-225317,6,Z,+000002.8
20250120-225317,8,X,+000003.4
20250120-225317,8,Y,-000005.4
20250120-225317,10,Y,-000004.2
20250120-225317,11,Z,+000006.7
20250120-225317,12,Y,+000003.5
20250120-225317,13,Y,+000004.1
20250120-225317,15,X,+000007.6
20250120-225317,15,Y,-000004.1
20250120-225318,0,X,-000005.5
20250120-225318,0,Y,-000003.0
20250120-225318,1,Z,-000003.4
20250120-225318,4,Y,+000006.1
20250120-225318,5,X,+000005.1
20250120-225318,6,Y,+000005.3
20250120-225318,8,Y,+000007.0
20250120-225318,10,Y,+000003.9
20250120-225318,10,Z,-000002.5
20250120-225318,13,Y,-000005.6
20250120-225318,13,Z,-000004.3
20250120-225318,15,Y,+000004.0
20250120-225318,15,Z,-000002.5
20250120-225320,0,Z,+000004.0
20250120-225320,1,X,-000002.7
20250120-225320,4,X,-000003.2
20250120-225320,4,Y,+000003.0
20250120-225320,4,Z,-000006.7
20250120-225320,5,Z,-000005.2
20250120-225320,7,Z,-000004.3
20250120-225320,9,Y,-000003.7
20250120-225320,9,Z,-000004.0
20250120-225320,10,X,+000007.0
20250120-225320,11,X,-000002.6
20250120-225320,12,X,-000004.0
20250120-225320,13,X,-000004.5
20250120-225320,13,Z,+000002.7
20250120-225320,14,X,+000002.9
20250120-225320,14,Y,-000005.7
20250120-225320,15,Y,-000003.7
20250120-225323,1,X,-000006.9
20250120-225323,1,Y,-000003.5
20250120-225323,1,Z,-000003.8
20250120-225323,2,X,+000002.6
20250120-225323,2,Z,-000002.7
20250120-225323,5,X,+000003.6
20250120-225323,6,Y,+000005.7
20250120-225323,7,X,+000004.6
20250120-225323,7,Z,-000004.7
20250120-225323,8,Z,+000002.7
20250120-225323,9,Y,-000002.5
20250120-225323,10,X,+000003.5
20250120-225323,10,Z,-000004.4
20250120-225323,11,X,-000003.4
20250120-225323,11,Y,-000005.4
20250120-225323,12,Y,+000002.7
20250120-225323,15,Z,+000002.9
20250120-225324,0,Z,-000002.6
20250120-225324,1,X,+000004.3
20250120-225324,2,X,-000002.8
20250120-225324,2,Z,-000004.7
20250120-225324,3,Z,+000007.8
20250120-225324,4,X,+000003.8
20250120-225324,4,Y,-000003.6
20250120-225324,5,Z,+000009.6
20250120-225324,6,X,+000004.3
20250120-225324,7,Y,+000004.3
20250120-225324,8,Z,-000003.9
20250120-225324,9,X,+000002.9
20250120-225324,11,Z,+000007.4
20250120-225324,12,X,+000004.6
20250120-225324,14,Z,+000002.7
20250120-225325,0,X,-000005.9
20250120-225325,0,Y,-000003.0
20250120-225325,3,X,+000003.8
20250120-225325,4,X,-000003.6
20250120-225325,4,Z,+000004.6
20250120-225325,5,Y,+000005.9
20250120-225325,5,Z,-000005.5
20250120-225325,6,Y,+000004.1
20250120-225325,6,Z,+000004.4
20250120-225325,8,X,+000008.1
20250120-225325,8,Y,+000003.5
20250120-225325,8,Z,+000007.0
20250120-225325,9,Z,-000003.6
20250120-225325,10,Z,-000004.8
20250120-225325,11,Y,-000003.1
20250120-225325,11,Z,-000002.7
20250120-225325,13,X,-000007.2
20250120-225325,13,Y,+000002.6
20250120-225325,15,X,+000004.1
20250120-225326,1,Y,-000002.7
20250120-225326,3,Y,-000004.5
20250120-225326,3,Z,+000009.0
20250120-225326,4,X,-000003.2
20250120-225326,4,Z,-000005.1
20250120-225326,5,X,+000002.8
20250120-225326,6,X,-000004.6
20250120-225326,6,Y,+000003.7
20250120-225326,7,Y,+000005.9
20250120-225326,8,Z,+000003.1
20250120-225326,9,X,+000002.9
20250120-225326,9,Y,-000008.3
20250120-225326,9,Z,-000005.6
20250120-225326,11,Y,+000002.7
20250120-225326,11,Z,-000003.0
20250120-225326,12,Z,-000002.5
20250120-225326,13,X,+000002.5
20250120-225326,13,Z,+000002.7
20250120-225326,14,Z,-000003.9
20250120-225326,15,Z,-000005.6
20250120-225328,3,X,+000002.6
