时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-225218,12,Z,-034126.7
20250120-225218,13,X,+025232.4
20250120-225218,13,Y,-021051.3
20250120-225218,13,Z,-034458.2
20250120-225218,14,X,-003254.9
20250120-225218,14,Y,-027889.1
20250120-225218,14,Z,-030054.3
20250120-225218,15,X,-009801.0
20250120-225218,15,Y,-021138.7
20250120-225218,15,Z,-024675.2
20250120-225218,0,X,-024207.1
20250120-225218,0,Y,-012250.2
20250120-225218,0,Z,-041722.7
20250120-225218,1,X,-015512.1
20250120-225218,1,Y,-018895.5
20250120-225218,1,Z,-022549.4
20250120-225218,2,X,-017616.8
20250120-225218,2,Y,-019566.0
20250120-225218,2,Z,-021469.6
20250120-225218,3,X,+000041.3
20250120-225218,3,Y,+1020365.9
20250120-225218,3,Z,-004510.8
20250120-225218,4,X,-028676.8
20250120-225218,4,Y,-031832.1
20250120-225218,4,Z,-032054.3
20250120-225218,5,X,-026768.5
20250120-225218,5,Y,-035720.2
20250120-225218,5,Z,-023836.6
20250120-225218,6,X,-017773.2
20250120-225218,6,Y,-010177.9
20250120-225218,6,Z,-009392.8
20250120-225218,7,X,-033894.0
20250120-225218,7,Y,-028793.4
20250120-225218,7,Z,-026400.6
20250120-225218,8,X,-012439.0
20250120-225218,8,Y,-026402.1
20250120-225218,8,Z,-032762.3
20250120-225218,9,X,-014848.2
20250120-225218,9,Y,-008628.3
20250120-225218,9,Z,-009807.8
20250120-225218,10,X,-019003.8
20250120-225218,10,Y,-004425.4
20250120-225218,10,Z,-015333.6
20250120-225218,11,X,+000120.5
20250120-225218,11,Y,+1018184.3
20250120-225218,11,Z,-045492.9
20250120-225218,12,X,-002039.0
20250120-225218,12,Y,-032105.4
20250120-225218,12,Z,-034097.6
20250120-225218,13,X,+025352.3
20250120-225218,13,Y,-020747.4
20250120-225218,13,Z,-034608.4
20250120-225218,14,X,-003079.1
20250120-225218,14,Y,-027990.4
20250120-225218,14,Z,-029958.8
20250120-225218,15,X,-009709.0
20250120-225218,15,Y,-021036.2
20250120-225218,15,Z,-024499.4
20250120-225218,0,X,-023903.2
20250120-225218,0,Y,-012109.3
20250120-225218,0,Z,-041907.8
20250120-225218,1,X,-015523.8
20250120-225218,1,Y,-018377.3
20250120-225218,1,Z,-023484.5
20250120-225218,2,X,-017792.7
20250120-225218,2,Y,-019829.1
20250120-225218,2,Z,-021645.4
20250120-225218,3,X,+000041.3
20250120-225218,3,Y,+1059118.3
20250120-225218,3,Z,-004880.0
20250120-225218,4,X,-028141.2
20250120-225218,4,Y,-032520.2
20250120-225218,4,Z,-031572.3
20250120-225218,5,X,-026493.7
20250120-225218,5,Y,-035661.9
20250120-225218,5,Z,-024043.9
20250120-225218,6,X,-017097.8
20250120-225218,6,Y,-010436.4
20250120-225218,6,Z,-009807.3
20250120-225218,7,X,-034111.8
20250120-225218,7,Y,-028717.7
20250120-225218,7,Z,-026366.8
20250120-225218,8,X,-011895.2
20250120-225218,8,Y,-026895.8
20250120-225218,8,Z,-032813.6
20250120-225218,9,X,-014997.3
20250120-225218,9,Y,-009189.5
20250120-225218,9,Z,-009755.4
20250120-225218,10,X,-018643.9
20250120-225218,10,Y,-005351.1
20250120-225218,10,Z,-014869.0
20250120-225218,11,X,+000120.5
20250120-225218,11,Y,+1056936.7
20250120-225218,11,Z,-044854.9
20250120-225218,12,X,-001692.0
20250120-225218,12,Y,-033081.2
20250120-225218,12,Z,-033252.2
20250120-225218,13,X,+024704.9
20250120-225218,13,Y,-021678.9
20250120-225218,13,Z,-033246.1
20250120-225218,14,X,-003341.1
20250120-225218,14,Y,-028365.4
20250120-225218,14,Z,-030095.1
20250120-225218,15,X,-009117.5
20250120-225218,15,Y,-020540.1
20250120-225218,15,Z,-024017.3
20250120-225218,0,X,-024268.8
20250120-225218,0,Y,-012320.0
20250120-225218,0,Z,-041746.0
20250120-225218,1,X,-015401.5
20250120-225218,1,Y,-018972.3
20250120-225218,1,Z,-022480.7
20250120-225218,2,X,-017696.0
20250120-225218,2,Y,-019422.7
20250120-225218,2,Z,-021554.6
20250120-225218,3,X,+000041.3
20250120-225218,3,Y,+1097870.8
20250120-225218,3,Z,-004337.3
20250120-225218,4,X,-028723.4
20250120-225218,4,Y,-031541.0
20250120-225218,4,Z,-031965.8
20250120-225218,5,X,-026668.3
20250120-225218,5,Y,-035554.8
20250120-225218,5,Z,-023652.6
20250120-225218,6,X,-017860.5
20250120-225218,6,Y,-010571.5
20250120-225218,6,Z,-009649.0
20250120-225218,7,X,-033738.0
20250120-225218,7,Y,-028863.3
20250120-225218,7,Z,-026324.9
20250120-225218,8,X,-012552.0
20250120-225218,8,Y,-026398.6
20250120-225218,8,Z,-032779.8
20250120-225218,9,X,-014689.9
20250120-225218,9,Y,-008699.3
20250120-225218,9,Z,-010249.1
20250120-225218,10,X,-019141.2
20250120-225218,10,Y,-004602.4
20250120-225218,10,Z,-015446.5
20250120-225218,11,X,+000120.5
20250120-225218,11,Y,+1095689.2
20250120-225218,11,Z,-045523.2
20250120-225218,12,X,-001775.9
20250120-225218,12,Y,-031989.0
20250120-225218,12,Z,-033921.7
20250120-225218,13,X,+025372.1
20250120-225218,13,Y,-020933.7
20250120-225218,13,Z,-034533.9
20250120-225218,14,X,-003037.2
20250120-225218,14,Y,-027970.6
20250120-225218,14,Z,-029842.4
20250120-225218,15,X,-009875.5
20250120-225218,15,Y,-021304.0
20250120-225218,15,Z,-024605.4
20250120-225218,0,X,-024104.3
20250120-225218,0,Y,-012051.3
20250120-225218,0,Z,-041618.0
20250120-225218,1,X,-015494.2
20250120-225218,1,Y,-018877.7
20250120-225218,1,Z,-022589.0
20250120-225218,2,X,-017670.8
20250120-225218,2,Y,-019467.1
20250120-225218,2,Z,-021476.2
20250120-225218,3,X,+000041.3
20250120-225218,3,Y,+1173587.1
20250120-225218,3,Z,-004602.0
20250120-225218,4,X,-028583.6
20250120-225218,4,Y,-031773.8
20250120-225218,4,Z,-031957.9
20250120-225218,5,X,-026830.8
20250120-225218,5,Y,-035559.0
20250120-225218,5,Z,-023771.8
20250120-225218,6,X,-017750.8
20250120-225218,6,Y,-010416.3
20250120-225218,6,Z,-009316.4
20250120-225218,7,X,-034102.3
20250120-225218,7,Y,-028780.4
20250120-225218,7,Z,-026299.4
20250120-225218,8,X,-012457.1
20250120-225218,8,Y,-026285.4
20250120-225218,8,Z,-032807.6
20250120-225218,9,X,-014778.4
20250120-225218,9,Y,-008524.7
20250120-225218,9,Z,-009996.7
20250120-225218,10,X,-019095.8
20250120-225218,10,Y,-004464.0
20250120-225218,10,Z,-015500.7
20250120-225218,11,X,+000120.5
20250120-225218,11,Y,+1171405.5
20250120-225218,11,Z,-045516.0
20250120-225218,12,X,-001906.1
20250120-225218,12,Y,-032246.1
20250120-225218,12,Z,-033980.9
20250120-225218,13,X,+025158.0
20250120-225218,13,Y,-020859.2
20250120-225218,13,Z,-034469.2
20250120-225218,14,X,-003116.4
20250120-225218,14,Y,-027848.4
20250120-225218,14,Z,-030095.1
20250120-225218,15,X,-009749.2
20250120-225218,15,Y,-021199.0
20250120-225218,15,Z,-024685.7
20250120-225219,0,X,+000135.1
20250120-225219,0,Y,+000270.1
20250120-225219,0,Z,-000037.3
20250120-225219,1,X,-000078.0
20250120-225219,1,Y,+000150.2
20250120-225219,1,Z,-000054.7
20250120-225219,2,X,+000019.8
20250120-225219,2,Y,+000067.5
20250120-225219,2,Z,-000237.5
20250120-225219,3,Y,+076312.5
20250120-225219,3,Z,+000221.2
20250120-225219,4,X,+000045.4
20250120-225219,4,Y,+000156.0
20250120-225219,4,Z,-000093.2
20250120-225219,5,X,+000015.1
20250120-225219,5,Y,+000071.0
20250120-225219,5,Z,-000255.0
20250120-225219,6,X,+000033.8
20250120-225219,6,Y,+000067.5
20250120-225219,6,Z,-000146.7
20250120-225219,7,X,+000004.7
20250120-225219,7,Y,-000008.2
20250120-225219,7,Z,-000177.0
20250120-225219,8,X,+000079.2
20250120-225219,8,Y,-000102.5
20250120-225219,8,Z,+000225.9
20250120-225219,9,X,-000034.9
20250120-225219,9,Y,-000154.9
20250120-225219,9,Z,+000214.3
20250120-225219,10,X,+000097.8
20250120-225219,10,Y,-000241.0
20250120-225219,10,Z,+000057.1
20250120-225219,11,Y,+076312.5
20250120-225219,11,Z,-000017.5
20250120-225219,12,Y,+000153.7
20250120-225219,12,Z,-000041.9
20250120-225219,13,X,-000262.0
20250120-225219,13,Y,-000146.7
20250120-225219,13,Z,-000040.8
20250120-225219,14,X,+000024.5
20250120-225219,14,Y,+000034.9
20250120-225219,14,Z,+000008.2
20250120-225219,15,X,+000078.0
20250120-225219,15,Y,-000202.6
20250120-225219,15,Z,-000033.8
20250120-225219,0,X,-000959.5
20250120-225219,0,Y,+001605.8
20250120-225219,0,Z,+000521.7
20250120-225219,1,X,-000058.2
20250120-225219,1,Y,-000022.1
20250120-225219,2,X,-000052.4
20250120-225219,2,Y,+000492.6
20250120-225219,2,Z,+000479.7
20250120-225219,3,Y,+115064.9
20250120-225219,3,Z,+000592.7
20250120-225219,4,X,+000867.5
20250120-225219,4,Y,+000054.7
20250120-225219,4,Z,-000085.0
20250120-225219,5,X,+000232.9
20250120-225219,5,Y,+001078.3
20250120-225219,5,Z,-000650.9
20250120-225219,6,X,+001471.8
20250120-225219,6,Y,+000166.5
20250120-225219,6,Z,+000238.7
20250120-225219,7,X,-000547.3
20250120-225219,7,Y,-000578.7
20250120-225219,7,Z,-001145.8
20250120-225219,8,X,-000181.7
20250120-225219,8,Y,-000907.1
20250120-225219,8,Z,-000263.2
20250120-225219,9,X,-000278.3
20250120-225219,9,Y,+000507.7
20250120-225219,9,Z,+000734.8
20250120-225219,10,X,+000099.0
20250120-225219,10,Y,-000036.1
20250120-225219,10,Z,+000951.3
20250120-225219,11,Y,+115064.9
20250120-225219,11,Z,+000010.4
20250120-225219,12,X,-000258.5
20250120-225219,12,Y,+000231.7
20250120-225219,12,Z,+000222.4
20250120-225219,13,X,-001119.0
20250120-225219,13,Y,+000320.2
20250120-225219,13,Z,+000060.5
20250120-225219,14,X,-001333.3
20250120-225219,14,Y,-000406.4
20250120-225219,14,Z,-000213.1
20250120-225219,15,X,-000448.3
20250120-225219,15,Y,-000051.2
20250120-225219,15,Z,-000221.2
20250120-225219,0,X,+000046.0
20250120-225219,0,Y,+000141.3
20250120-225219,0,Z,+000111.2
20250120-225219,1,X,-000133.9
20250120-225219,1,Y,-000032.8
20250120-225219,1,Z,-000080.5
20250120-225219,2,X,+000048.1
20250120-225219,2,Y,+000122.3
20250120-225219,2,Z,-000263.1
20250120-225219,3,Y,+153221.2
20250120-225219,3,Z,+000275.7
20250120-225219,4,X,+000303.3
20250120-225219,4,Y,-000018.6
20250120-225219,4,Z,-000073.2
20250120-225219,5,X,+000232.9
