时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-225007,3,Y,-000003.2
20250120-225007,4,Z,+000004.6
20250120-225007,5,Y,+000003.3
20250120-225007,6,Z,-000002.8
20250120-225007,9,X,-000004.9
20250120-225007,11,Y,+000003.5
20250120-225007,11,Z,-000002.5
20250120-225007,12,X,+000005.1
20250120-225007,14,Y,+000004.1
20250120-225007,14,Z,+000003.3
20250120-225007,15,Y,-000003.0
20250120-225216,0,X,-011530.6
20250120-225216,0,Y,-005972.1
20250120-225216,0,Z,-020011.8
20250120-225216,1,X,-007406.7
20250120-225216,1,Y,-009017.4
20250120-225216,1,Z,-010806.3
20250120-225216,2,X,-008443.5
20250120-225216,2,Y,-009364.1
20250120-225216,2,Z,-010321.0
20250120-225216,3,X,+000020.3
20250120-225216,3,Y,+161070.2
20250120-225216,3,Z,-002198.9
20250120-225216,4,X,-013828.0
20250120-225216,4,Y,-015372.7
20250120-225216,4,Z,-015404.5
20250120-225216,5,X,-012870.6
20250120-225216,5,Y,-017215.0
20250120-225216,5,Z,-011478.9
20250120-225216,6,X,-008473.9
20250120-225216,6,Y,-004903.0
20250120-225216,6,Z,-004672.2
20250120-225216,7,X,-016460.5
20250120-225216,7,Y,-013972.8
20250120-225216,7,Z,-012780.5
20250120-225216,8,X,-005904.8
20250120-225216,8,Y,-012481.5
20250120-225216,8,Z,-015530.2
20250120-225216,9,X,-006945.9
20250120-225216,9,Y,-004013.0
20250120-225216,9,Z,-004687.5
20250120-225216,10,X,-008994.5
20250120-225216,10,Y,-002194.7
20250120-225216,10,Z,-007279.1
20250120-225216,11,X,+000056.7
20250120-225216,11,Y,+157680.3
20250120-225216,11,Z,-021614.5
20250120-225216,12,X,-000868.3
20250120-225216,12,Y,-015331.7
20250120-225216,12,Z,-016087.5
20250120-225216,13,X,+011962.8
20250120-225216,13,Y,-009842.6
20250120-225216,13,Z,-016403.7
20250120-225216,14,X,-001515.7
20250120-225216,14,Y,-013200.3
20250120-225216,14,Z,-014168.0
20250120-225216,15,X,-004724.3
20250120-225216,15,Y,-010006.9
20250120-225216,15,Z,-011704.6
20250120-225216,0,X,-024097.6
20250120-225216,0,Y,-012379.4
20250120-225216,0,Z,-041699.4
20250120-225216,1,X,-015357.3
20250120-225216,1,Y,-018897.8
20250120-225216,1,Z,-022401.6
20250120-225216,2,X,-017817.1
20250120-225216,2,Y,-019414.6
20250120-225216,2,Z,-021589.5
20250120-225216,3,X,+000041.3
20250120-225216,3,Y,+409865.9
20250120-225216,3,Z,-004682.0
20250120-225216,4,X,-028715.3
20250120-225216,4,Y,-031615.5
20250120-225216,4,Z,-032176.6
20250120-225216,5,X,-026731.2
20250120-225216,5,Y,-035661.9
20250120-225216,5,Z,-023799.3
20250120-225216,6,X,-017515.8
20250120-225216,6,Y,-010346.7
20250120-225216,6,Z,-009435.9
20250120-225216,7,X,-034083.8
20250120-225216,7,Y,-028877.3
20250120-225216,7,Z,-026306.2
20250120-225216,8,X,-012512.4
20250120-225216,8,Y,-026267.0
20250120-225216,8,Z,-032716.9
20250120-225216,9,X,-014764.4
20250120-225216,9,Y,-008574.7
20250120-225216,9,Z,-010118.7
20250120-225216,10,X,-019001.4
20250120-225216,10,Y,-004469.7
20250120-225216,10,Z,-015271.9
20250120-225216,11,X,+000120.5
20250120-225216,11,Y,+407684.3
20250120-225216,11,Z,-045577.9
20250120-225216,12,X,-001816.6
20250120-225216,12,Y,-032007.6
20250120-225216,12,Z,-034098.7
20250120-225216,13,X,+025168.4
20250120-225216,13,Y,-020862.7
20250120-225216,13,Z,-034543.2
20250120-225216,14,X,-003051.2
20250120-225216,14,Y,-027945.0
20250120-225216,14,Z,-029943.7
20250120-225216,15,X,-009847.6
20250120-225216,15,Y,-021248.1
20250120-225216,15,Z,-024612.4
20250120-225216,0,X,-023754.1
20250120-225216,0,Y,-012332.9
20250120-225216,0,Z,-041907.8
20250120-225216,1,X,-015151.2
20250120-225216,1,Y,-017483.0
20250120-225216,1,Z,-022739.2
20250120-225216,2,X,-018239.8
20250120-225216,2,Y,-018785.8
20250120-225216,2,Z,-021645.4
20250120-225216,3,X,+000041.3
20250120-225216,3,Y,+448618.3
20250120-225216,3,Z,-005178.1
20250120-225216,4,X,-029110.0
20250120-225216,4,Y,-031775.0
20250120-225216,4,Z,-032466.5
20250120-225216,5,X,-026940.8
20250120-225216,5,Y,-035960.0
20250120-225216,5,Z,-023447.7
20250120-225216,6,X,-019035.4
20250120-225216,6,Y,-010287.3
20250120-225216,6,Z,-008913.1
20250120-225216,7,X,-033962.7
20250120-225216,7,Y,-029835.6
20250120-225216,7,Z,-025919.6
20250120-225216,8,X,-012416.9
20250120-225216,8,Y,-027492.0
20250120-225216,8,Z,-032813.6
20250120-225216,9,X,-015668.0
20250120-225216,9,Y,-009189.5
20250120-225216,9,Z,-010798.7
20250120-225216,10,X,-018867.5
20250120-225216,10,Y,-004456.9
20250120-225216,10,Z,-015390.6
20250120-225216,11,X,+000120.5
20250120-225216,11,Y,+446436.8
20250120-225216,11,Z,-045525.6
20250120-225216,12,X,-002660.8
20250120-225216,12,Y,-031814.3
20250120-225216,12,Z,-034593.6
20250120-225216,13,X,+027536.8
20250120-225216,13,Y,-021231.8
20250120-225216,13,Z,-033618.7
20250120-225216,14,X,-004384.4
20250120-225216,14,Y,-027173.0
20250120-225216,14,Z,-029871.5
20250120-225216,15,X,-010160.8
20250120-225216,15,Y,-021658.0
20250120-225216,15,Z,-025358.8
20250120-225216,0,X,-024208.9
20250120-225216,0,Y,-012308.2
20250120-225216,0,Z,-041773.4
20250120-225216,1,X,-015531.4
20250120-225216,1,Y,-018902.5
20250120-225216,1,Z,-022494.0
20250120-225216,2,X,-017690.6
20250120-225216,2,Y,-019578.0
20250120-225216,2,Z,-021486.4
20250120-225216,3,X,+000041.3
20250120-225216,3,Y,+524930.8
20250120-225216,3,Z,-004798.4
20250120-225216,4,X,-028718.0
20250120-225216,4,Y,-031807.3
20250120-225216,4,Z,-032002.4
20250120-225216,5,X,-026754.2
20250120-225216,5,Y,-035653.7
20250120-225216,5,Z,-023793.9
20250120-225216,6,X,-017751.5
20250120-225216,6,Y,-010247.4
20250120-225216,6,Z,-009545.6
20250120-225216,7,X,-033869.4
20250120-225216,7,Y,-028717.7
20250120-225216,7,Z,-026406.1
20250120-225216,8,X,-012536.0
20250120-225216,8,Y,-026399.4
20250120-225216,8,Z,-032806.5
20250120-225216,9,X,-014733.8
20250120-225216,9,Y,-008481.2
20250120-225216,9,Z,-010085.2
20250120-225216,10,X,-019102.8
20250120-225216,10,Y,-004801.3
20250120-225216,10,Z,-015425.3
20250120-225216,11,X,+000120.5
20250120-225216,11,Y,+522749.3
20250120-225216,11,Z,-045661.1
20250120-225216,12,X,-001750.1
20250120-225216,12,Y,-032262.6
20250120-225216,12,Z,-033971.0
20250120-225216,13,X,+025312.3
20250120-225216,13,Y,-020832.2
20250120-225216,13,Z,-034570.5
20250120-225216,14,X,-003038.3
20250120-225216,14,Y,-027769.8
20250120-225216,14,Z,-030039.3
20250120-225216,15,X,-009708.4
20250120-225216,15,Y,-021107.6
20250120-225216,15,Z,-024544.3
20250120-225217,0,X,-024053.4
20250120-225217,0,Y,-012325.9
20250120-225217,0,Z,-041754.1
20250120-225217,1,X,-015260.6
20250120-225217,1,Y,-018908.3
20250120-225217,1,Z,-022443.5
20250120-225217,2,X,-017701.8
20250120-225217,2,Y,-019550.8
20250120-225217,2,Z,-021593.0
20250120-225217,3,X,+000041.3
20250120-225217,3,Y,+638803.4
20250120-225217,3,Z,-004552.8
20250120-225217,4,X,-028716.4
20250120-225217,4,Y,-031687.7
20250120-225217,4,Z,-031950.7
20250120-225217,5,X,-026706.8
20250120-225217,5,Y,-035601.4
20250120-225217,5,Z,-023857.6
20250120-225217,6,X,-017719.6
20250120-225217,6,Y,-010211.6
20250120-225217,6,Z,-009332.3
20250120-225217,7,X,-034003.5
20250120-225217,7,Y,-028873.8
20250120-225217,7,Z,-026405.2
20250120-225217,8,X,-012288.8
20250120-225217,8,Y,-026513.9
20250120-225217,8,Z,-032760.0
20250120-225217,9,X,-014844.7
20250120-225217,9,Y,-008530.4
20250120-225217,9,Z,-010054.7
20250120-225217,10,X,-019307.7
20250120-225217,10,Y,-004302.0
20250120-225217,10,Z,-015295.2
20250120-225217,11,X,+000120.5
20250120-225217,11,Y,+636621.8
20250120-225217,11,Z,-045573.3
20250120-225217,12,X,-001821.3
20250120-225217,12,Y,-031954.0
20250120-225217,12,Z,-034046.3
20250120-225217,13,X,+025443.2
20250120-225217,13,Y,-020968.6
20250120-225217,13,Z,-034679.5
20250120-225217,14,X,-003025.5
20250120-225217,14,Y,-027870.5
20250120-225217,14,Z,-030082.3
20250120-225217,15,X,-009635.6
20250120-225217,15,Y,-021280.7
20250120-225217,15,Z,-024667.1
20250120-225217,0,X,-024155.9
20250120-225217,0,Y,-012181.5
20250120-225217,0,Z,-041610.9
20250120-225217,1,X,-015529.6
20250120-225217,1,Y,-018739.4
20250120-225217,1,Z,-022520.3
20250120-225217,2,X,-017548.1
20250120-225217,2,Y,-019433.2
20250120-225217,2,Z,-021725.7
20250120-225217,3,X,+000041.3
20250120-225217,3,Y,+715115.9
20250120-225217,3,Z,-004580.7
20250120-225217,4,X,-028818.9
20250120-225217,4,Y,-031861.2
20250120-225217,4,Z,-031994.9
20250120-225217,5,X,-026642.7
20250120-225217,5,Y,-035602.5
20250120-225217,5,Z,-023759.7
20250120-225217,6,X,-017553.1
20250120-225217,6,Y,-010069.6
20250120-225217,6,Z,-009753.8
20250120-225217,7,X,-033965.0
20250120-225217,7,Y,-028786.4
20250120-225217,7,Z,-026436.7
20250120-225217,8,X,-012640.5
20250120-225217,8,Y,-026350.8
20250120-225217,8,Z,-032753.0
20250120-225217,9,X,-014670.1
20250120-225217,9,Y,-008509.5
20250120-225217,9,Z,-010200.2
20250120-225217,10,X,-019285.6
20250120-225217,10,Y,-004448.7
20250120-225217,10,Z,-015353.4
20250120-225217,11,X,+000120.5
20250120-225217,11,Y,+712934.3
20250120-225217,11,Z,-045483.6
20250120-225217,12,X,-001454.5
20250120-225217,12,Y,-032150.8
20250120-225217,12,Z,-034014.9
20250120-225217,13,X,+025120.6
20250120-225217,13,Y,-020764.8
20250120-225217,13,Z,-034645.7
20250120-225217,14,X,-002902.1
20250120-225217,14,Y,-027886.8
20250120-225217,14,Z,-029951.8
20250120-225217,15,X,-009882.5
20250120-225217,15,Y,-021152.6
20250120-225217,15,Z,-024529.7
20250120-225217,0,X,-023157.9
20250120-225217,0,Y,-011289.5
20250120-225217,0,Z,-040417.3
20250120-225217,1,X,-015076.6
20250120-225217,1,Y,-018526.3
20250120-225217,1,Z,-023111.9
20250120-225217,2,X,-017792.7
20250120-225217,2,Y,-020499.8
20250120-225217,2,Z,-021496.4
20250120-225217,3,X,+000041.3
20250120-225217,3,Y,+753868.3
20250120-225217,3,Z,-005103.5
20250120-225217,4,X,-028961.0
20250120-225217,4,Y,-031476.9
20250120-225217,4,Z,-031646.8
20250120-225217,5,X,-026493.7
20250120-225217,5,Y,-035811.0
20250120-225217,5,Z,-023447.7
20250120-225217,6,X,-016725.2
20250120-225217,6,Y,-011032.6
20250120-225217,6,Z,-009360.2
20250120-225217,7,X,-034186.3
20250120-225217,7,Y,-029910.1
20250120-225217,7,Z,-025994.2
20250120-225217,8,X,-013683.8
20250120-225217,8,Y,-026448.7
20250120-225217,8,Z,-032664.5
20250120-225217,9,X,-015146.3
20250120-225217,9,Y,-009338.6
20250120-225217,9,Z,-009829.9
20250120-225217,10,X,-018942.0
20250120-225217,10,Y,-004680.4
20250120-225217,10,Z,-016135.9
20250120-225217,11,X,+000120.5
20250120-225217,11,Y,+751686.7
20250120-225217,11,Z,-045525.6
20250120-225217,12,X,-001468.5
20250120-225217,12,Y,-032708.6
20250120-225217,12,Z,-033624.8
20250120-225217,13,X,+026419.0
20250120-225217,13,Y,-020635.6
20250120-225217,13,Z,-034438.4
20250120-225217,14,X,-003043.0
20250120-225217,14,Y,-028365.4
20250120-225217,14,Z,-029647.9
20250120-225217,15,X,-009788.2
20250120-225217,15,Y,-021732.5
20250120-225217,15,Z,-024017.3
20250120-225217,0,X,-024165.8
20250120-225217,0,Y,-012169.6
20250120-225217,0,Z,-041877.1
20250120-225217,1,X,-015367.6
20250120-225217,1,Y,-018845.7
20250120-225217,1,Z,-022538.1
20250120-225217,2,X,-017536.0
20250120-225217,2,Y,-019467.1
20250120-225217,2,Z,-021684.4
20250120-225217,3,X,+000041.3
20250120-225217,3,Y,+792024.6
20250120-225217,3,Z,-004675.3
20250120-225217,4,X,-028780.0
20250120-225217,4,Y,-031726.5
20250120-225217,4,Z,-032080.9
20250120-225217,5,X,-026719.6
20250120-225217,5,Y,-035697.4
20250120-225217,5,Z,-023954.0
20250120-225217,6,X,-017756.7
20250120-225217,6,Y,-010340.6
20250120-225217,6,Z,-009407.5
20250120-225217,7,X,-034077.5
20250120-225217,7,Y,-028791.1
20250120-225217,7,Z,-026396.4
20250120-225217,8,X,-012737.5
20250120-225217,8,Y,-026190.8
20250120-225217,8,Z,-032762.7
20250120-225217,9,X,-014713.4
20250120-225217,9,Y,-008732.9
20250120-225217,9,Z,-010173.0
20250120-225217,10,X,-019092.3
20250120-225217,10,Y,-004628.4
20250120-225217,10,Z,-015312.6
20250120-225217,11,X,+000120.5
20250120-225217,11,Y,+789843.0
20250120-225217,11,Z,-045693.5
20250120-225217,12,X,-001808.0
20250120-225217,12,Y,-032157.4
20250120-225217,12,Z,-033945.4
20250120-225217,13,X,+025292.8
20250120-225217,13,Y,-020873.4
20250120-225217,13,Z,-034659.6
20250120-225217,14,X,-003082.1
20250120-225217,14,Y,-027894.6
20250120-225217,14,Z,-030077.3
20250120-225217,15,X,-009822.5
20250120-225217,15,Y,-021345.7
20250120-225217,15,Z,-024646.6
20250120-225217,0,X,-024152.4
20250120-225217,0,Y,-012230.4
20250120-225217,0,Z,-041641.2
20250120-225217,1,X,-015533.1
20250120-225217,1,Y,-018845.4
20250120-225217,1,Z,-022391.1
20250120-225217,2,X,-017507.4
20250120-225217,2,Y,-019467.0
20250120-225217,2,Z,-021584.9
20250120-225217,3,X,+000041.3
20250120-225217,3,Y,+867740.9
20250120-225217,3,Z,-004944.0
20250120-225217,4,X,-028703.6
20250120-225217,4,Y,-031606.2
20250120-225217,4,Z,-032047.3
20250120-225217,5,X,-026703.3
20250120-225217,5,Y,-035579.3
20250120-225217,5,Z,-023848.2
20250120-225217,6,X,-017766.2
20250120-225217,6,Y,-010112.7
20250120-225217,6,Z,-009505.8
20250120-225217,7,X,-034025.6
20250120-225217,7,Y,-028817.9
20250120-225217,7,Z,-026273.6
20250120-225217,8,X,-012310.9
20250120-225217,8,Y,-026520.9
20250120-225217,8,Z,-032762.3
20250120-225217,9,X,-014793.5
20250120-225217,9,Y,-008660.9
20250120-225217,9,Z,-009946.4
20250120-225217,10,X,-019094.6
20250120-225217,10,Y,-004777.1
20250120-225217,10,Z,-015304.5
20250120-225217,11,X,+000120.5
20250120-225217,11,Y,+865559.3
20250120-225217,11,Z,-045434.7
20250120-225217,12,X,-001759.6
20250120-225217,12,Y,-032096.1
20250120-225217,12,Z,-034004.4
20250120-225217,13,X,+025234.7
20250120-225217,13,Y,-020936.0
20250120-225217,13,Z,-034720.2
20250120-225217,14,X,-003227.0
20250120-225217,14,Y,-027816.9
20250120-225217,14,Z,-030026.4
20250120-225217,15,X,-009787.0
20250120-225217,15,Y,-021099.1
20250120-225217,15,Z,-024646.1
20250120-225218,0,X,-024158.2
20250120-225218,0,Y,-012318.9
20250120-225218,0,Z,-041684.3
20250120-225218,1,X,-015563.4
20250120-225218,1,Y,-018860.5
20250120-225218,1,Z,-022441.1
20250120-225218,2,X,-017643.6
20250120-225218,2,Y,-019460.0
20250120-225218,2,Z,-021432.3
20250120-225218,3,X,+000041.3
20250120-225218,3,Y,+944053.4
20250120-225218,3,Z,-004633.1
20250120-225218,4,X,-028800.3
20250120-225218,4,Y,-031874.0
20250120-225218,4,Z,-032022.9
20250120-225218,5,X,-026840.7
20250120-225218,5,Y,-035736.5
20250120-225218,5,Z,-023701.5
20250120-225218,6,X,-017711.5
20250120-225218,6,Y,-010467.8
20250120-225218,6,Z,-009581.4
20250120-225218,7,X,-033993.0
20250120-225218,7,Y,-029001.8
20250120-225218,7,Z,-026408.7
20250120-225218,8,X,-012838.4
20250120-225218,8,Y,-026356.7
20250120-225218,8,Z,-032770.5
20250120-225218,9,X,-014686.4
20250120-225218,9,Y,-008557.2
20250120-225218,9,Z,-010190.9
20250120-225218,10,X,-019127.2
20250120-225218,10,Y,-004591.9
20250120-225218,10,Z,-015429.1
20250120-225218,11,X,+000120.5
20250120-225218,11,Y,+941871.8
20250120-225218,11,Z,-045498.8
20250120-225218,12,X,-002077.5
20250120-225218,12,Y,-032058.8
